subjectnumber,dob,dot,age,excluded,reason,notes,screen1,screen2,screen2b,screen3,screen3b,screen4,screen5,story,order,condition,pilotversion,control1,control2,control3,control4,control5,control6,moral,explain
63,7/16/12,7/1/19,6.961643836,0,,,0,1,0,0,0,1,,Rocks,2,High,6/26/19,1,1,1,1,0,0,1,If he only takes one rock it's fine
64,2/8/10,7/1/19,9.397260274,0,,,0,1,0,0,0,1,,Buckets,1,High,6/26/19,1,1,1,1,0,0,0,Because she's doing it in secret and all the other kid want to take water too
64,2/8/10,7/1/19,9.397260274,0,,,0,1,0,0,0,1,,Rocks,2,Low,6/26/19,1,1,1,0,,0,1,Because no one else wants to and he'll do it just this once
65,8/11/13,7/1/19,5.890410959,0,,,0,1,0,0,0,1,,Buckets,1,Low,6/26/19,1,1,1,0,,0,1,Because it's just one bucket
65,8/11/13,7/1/19,5.890410959,0,,,0,1,0,0,0,1,,Rocks,2,High,6/26/19,1,1,1,1,0,0,1,Because it's just one rock
66,6/4/13,7/1/19,6.076712329,0,,,0,1,0,0,0,1,,Buckets,1,Low,6/26/19,1,1,1,1,0,0,1,The water's not gone
66,6/4/13,7/1/19,6.076712329,0,,,0,1,0,0,0,1,,Rocks,2,High,6/26/19,1,1,1,0,,0,1,There's lots of rocks left
67,10/22/11,7/1/19,7.695890411,0,,,0,1,0,0,0,1,,Buckets,1,Low,6/26/19,1,1,1,0,,0,0,Fish would have less water; germ problem; waste of water
67,10/22/11,7/1/19,7.695890411,0,,,0,1,0,0,0,1,,Rocks,2,High,6/26/19,1,1,1,1,0,0,0,It's not fair to the other kids
68,6/28/09,7/1/19,10.01369863,0,,,0,1,0,0,0,1,,Buckets,1,High,6/26/19,1,1,1,1,0,0,1,It wouldn't matter if just this once
68,6/28/09,7/1/19,10.01369863,0,,,0,1,0,0,0,1,,Rocks,2,Low,6/26/19,1,1,1,0,,0,1,None of the other kids want one
69,1/2/12,7/2/19,7.501369863,0,,,0,1,0,0,0,1,,Buckets,1,Low,7/2/19,1,1,1,0,,0,1,"(originally not okay ""Because it's the fish's."") Changed to okay because there's no one else around"
69,1/2/12,7/2/19,7.501369863,0,,,0,1,0,0,0,1,,Rocks,2,High,7/2/19,1,1,1,1,0,0,1,Because nobody will do it and nobody will do the same thing
70,10/4/11,7/2/19,7.747945205,0,,,0,1,0,0,0,1,,Buckets,1,High,7/2/19,1,1,1,1,0,0,0,There will only be a little bit of water left
70,10/4/11,7/2/19,7.747945205,0,,,0,1,0,0,0,1,,Rocks,2,Low,7/2/19,1,1,1,0,,0,1,No one will see him do it
71,1/8/14,7/2/19,5.482191781,0,,,0,1,0,0,0,1,,Buckets,1,Low,7/2/19,1,1,1,0,,0,0,Because the fish will die if she takes some water
71,1/8/14,7/2/19,5.482191781,0,,,0,1,0,0,0,1,,Rocks,2,High,7/2/19,1,1,1,1,0,0,0,"""I don't know"""
72,10/5/08,7/2/19,10.74520548,1,"Couldn't answer ""Do the kids want to..."" correctly",,? (not marked on sheet),? (not marked on sheet),0,0,0,1,,Buckets,1,High,7/2/19,1,1,1,0,0,0,0,The fish wouldn't have as much water to swim in and the water might be bad for Mary
72,10/5/08,7/2/19,10.74520548,0,,,? (not marked on sheet),? (not marked on sheet),0,0,0,1,,Rocks,2,Low,7/2/19,1,1,1,0,,0,1,There are so many rocks to go around and it's only one rock
73,11/3/13,7/2/19,5.663013699,0,,,0,1,0,0,0,1,,Buckets,1,Low,7/2/19,1,1,1,0,,0,1,The water won't waste
73,11/3/13,7/2/19,5.663013699,1,"Got ""What would happen if one person...?"" wrong",,0,1,0,0,0,1,,Rocks,2,High,7/2/19,1,0,1,1,0,0,1,He can put another rock ther and no one will know about it
74,11/3/13,7/2/19,5.663013699,0,,,0,1,0,0,0,1,,Buckets,1,High,7/2/19,1,1,1,1,0,0,0,It will still leak out
74,11/3/13,7/2/19,5.663013699,0,,,0,1,0,0,0,1,,Rocks,2,Low,7/2/19,1,1,1,0,,0,1,"It's just gonna be one, he's not gonna take all of them"
75,10/10/12,7/2/19,6.728767123,0,,,0,1,0,0,0,1,,Buckets,1,Low,7/2/19,1,1,1,0,,0,0,If she keeps doing it she might take too much
75,10/10/12,7/2/19,6.728767123,0,,,0,1,0,0,0,1,,Rocks,2,High,7/2/19,1,1,1,1,0,0,0,Because if he takes more of them there might be no path
76,5/12/14,7/2/19,5.142465753,0,,,0,1,0,0,0,1,,Buckets,1,High,7/2/19,1,1,1,1,0,0,0,I don't know
76,5/12/14,7/2/19,5.142465753,0,,,0,1,0,0,0,1,,Rocks,2,Low,7/2/19,1,1,1,0,,0,1,Because there still would be pelnty of rocks
77,12/12/14,7/2/19,4.556164384,1,Failed screen,,1,1,0,0,0,0,,,,,,,,,,,,,
78,12/23/10,7/2/19,8.528767123,0,,,0,1,2,0,0,1,,Buckets,1,High,7/2/19,1,1,1,1,0,0,0,If she does it then her other friends will want to do it
78,12/23/10,7/2/19,8.528767123,0,,,0,1,2,0,0,1,,Rocks,2,Low,7/2/19,1,1,1,0,,0,0,Because the friends said they want to take rocks
79,5/16/09,7/2/19,10.13424658,0,,,0,1,0,0,0,1,,Buckets,1,Low,7/2/19,1,1,1,0,,0,0,Because she's taking water away from the lake where fish live and maybe the fish won't survive
79,5/16/09,7/2/19,10.13424658,0,,,0,1,0,0,0,1,,Rocks,2,High,7/2/19,1,1,1,1,0,0,0,Because it's not okay to take rocks from somewhere and it's not okay to do something when no one else is there
80,1/5/14,7/2/19,5.490410959,0,,,0,1,2,0,0,1,,Buckets,1,High,7/2/19,1,1,,1,0,0,0,Because then there would be no water for the fish
80,1/5/14,7/2/19,5.490410959,0,,,0,1,2,0,0,1,,Rocks,2,Low,7/2/19,1,1,1,0,,0,0,It would be naughty
81,4/13/10,7/2/19,9.224657534,0,,,0,1,0,0,0,1,,Buckets,1,Low,7/2/19,1,1,1,0,,0,0,You don't want to take water from the animals and it's not for good reason
81,4/13/10,7/2/19,9.224657534,0,,,0,1,0,0,0,1,,Rocks,2,High,7/2/19,1,1,1,1,0,0,1,No one's looking and it's only one rock
82,3/18/11,7/2/19,8.295890411,0,,,0,1,0,0,0,1,,Buckets,1,High,7/2/19,1,1,1,1,0,0,1,She's the only person taking it from the lake
82,3/18/11,7/2/19,8.295890411,0,,,0,1,0,0,0,1,,Rocks,2,Low,7/2/19,1,1,1,0,,0,1,No one else will see him so they won't do it
83,3/6/14,7/2/19,5.326027397,0,,,0,1,0,0,0,1,,Buckets,1,Low,7/2/19,1,1,1,0,,0,1,There'd still be water left
83,3/6/14,7/2/19,5.326027397,0,,,0,1,0,0,0,1,,Rocks,2,High,7/2/19,1,1,1,1,0,0,1,There's still be a lot of rocks left
84,3/7/15,7/2/19,4.323287671,0,,,0,1,0,0,0,1,,Buckets,1,High,7/2/19,1,1,1,1,0,0,0,If the other kids came to get water there'd be no more water
84,3/7/15,7/2/19,4.323287671,0,,,0,1,0,0,0,1,,Rocks,2,Low,7/2/19,1,1,1,0,,0,0,If the other kids came to get rocks there'd be no more rocks
85,9/25/14,7/3/19,4.77260274,0,,,0,1,0,0,0,1,,Buckets,1,Low,7/2/19,1,1,1,0,,0,1,There's still water left for the fish.
85,9/25/14,7/3/19,4.77260274,0,,,0,1,0,0,0,1,,Rocks,2,High,7/2/19,1,1,1,1,0,0,1,Because there's more rocks.
86,8/16/08,7/3/19,10.88493151,0,,,0,1,0,0,0,1,,Buckets,1,High,7/2/19,1,1,1,1,0,0,1,If she just does it once then there will be plenty of water left.
86,8/16/08,7/3/19,10.88493151,0,,,0,1,0,0,0,1,,Rocks,2,Low,7/2/19,1,1,1,0,,0,1,He's only doing it once and there's still more rocks.
87,4/14/15,7/3/19,4.221917808,0,,,0,1,0,0,0,1,,Buckets,1,Low,7/2/19,1,1,1,0,,0,1,She likes to do that.
87,4/14/15,7/3/19,4.221917808,0,,,0,1,0,0,0,1,,Rocks,2,High,7/2/19,1,1,1,1,0,0,1,He likes doing that.
88,9/16/15,7/3/19,3.797260274,1,Age,,0,1,0,0,0,1,,Buckets,1,High,7/2/19,2,1,1,,0,0,1,Because she needs to make a moat.
88,9/16/15,7/3/19,3.797260274,1,Age,,0,1,0,0,0,1,,Rocks,2,Low,7/2/19,1,1,1,0,,0,1,Because he wants to put it in his rock collection. 
89,2/10/11,7/3/19,8.397260274,0,,,0,1,2,0,0,1,,Buckets,1,Low,7/2/19,1,1,1,0,,0,1,There would still be enough water.
89,2/10/11,7/3/19,8.397260274,0,,,0,1,2,0,0,1,,Rocks,2,High,7/2/19,1,1,1,1,0,0,1,No one will see him and there will still be enough rocks.
90,4/11/09,7/3/19,10.23287671,0,,,0,1,0,0,0,1,,Buckets,1,High,7/2/19,1,1,1,1,0,0,0,Not okay because the fish won't have enough water
90,4/11/09,7/3/19,10.23287671,0,,,0,1,0,0,0,1,,Rocks,2,Low,7/2/19,1,1,1,0,,0,1,He's the only one taking rocks from the path
91,5/4/15,7/3/19,4.167123288,0,,,0,1,0,0,0,1,,Buckets,1,High,7/2/19,1,1,1,1,0,0,0,Because she'll use all the water
91,5/4/15,7/3/19,4.167123288,0,,,0,1,0,0,0,1,,Rocks,2,Low,7/2/19,1,1,1,1,,0,0,Because he'll take all the rocks
92,12/17/13,7/3/19,5.545205479,1,Got wwh if everyone... wrong,,0,1,0,0,0,1,,Buckets,1,High ,7/2/19,1,1,0,2,0,0,0,"""I don't know"""
92,12/17/13,7/3/19,5.545205479,0,,,0,1,0,0,0,1,,Rocks,2,Low,7/2/19,1,1,1,0,,0,0,"""I don't know"""
93,3/7/11,7/3/19,8.328767123,0,,,0,1,0,0,0,1,,Buckets,1,High,7/2/19,1,1,1,1,0,0,1,Because there's still water for the fish
93,3/7/11,7/3/19,8.328767123,0,,,0,1,0,0,0,1,,Rocks,2,Low,7/2/19,1,1,1,0,0,0,1,Because there's still plenty of rocks if he takes it
94,5/26/10,7/3/19,9.109589041,0,,,0,1,0,0,0,1,,Buckets,1,High,7/2/19,1,1,1,1,0,0,0,"If she keeps doing it, there'll be none left and she's doing something wrong"
94,5/26/10,7/3/19,9.109589041,0,,,0,1,0,0,0,1,,Rocks,2,Low,7/2/19,1,1,1,0,,0,0,"If he keeps taking rocks, there will be none for the path"
95,8/2/12,7/3/19,6.920547945,0,,,0,1,0,0,0,1,,Buckets,1,Low,7/2/19,1,1,1,0,,0,0,waste of water
95,8/2/12,7/3/19,6.920547945,0,,,0,1,0,0,0,1,,Rocks,2,High,7/2/19,1,1,1,1,,0,0,He'll keep taking the rocks
96,6/25/14,7/3/19,5.024657534,1,got screening question wrong,,0,1,0,0,0,0,,,,,,,,,,,,,
97,12/17/10,7/3/19,8.547945205,0,,,0,1,0,0,0,1,,Buckets,1,Low,7/2/19,1,1,1,0,,0,0,the fish would die
97,12/17/10,7/3/19,8.547945205,0,,,0,1,0,0,0,1,,Rocks,2,High,7/2/19,1,1,1,1,0,0,0,"if just one time, there would still be plenty of rocks but there would be fewer rocks"
98,10/2/15,7/7/19,3.764383562,1,Age,,0,1,1,0,1,1,,,,,,,,,,,,,
99,5/28/15,7/7/19,4.112328767,1,Incorrect answer,,0,1,0,0,0,1,,Buckets,1,Low,7/2/19,1,1,1,0,,0,0,Because the fish can't breathe.
99,5/28/15,7/7/19,4.112328767,1,Incorrect answer,,0,1,0,0,0,1,,Rocks,2,High,7/2/19,1,1,1,0,0,0,0,"If other kids want to take rocks, there will be no more rocks left."
100,12/1/09,7/7/19,9.602739726,0,,,0,1,0,0,0,1,,Buckets,1,High,7/2/19,1,1,1,1,0,0,0,Someone else might see her.
100,12/1/09,7/7/19,9.602739726,0,,,0,1,0,0,0,1,,Rocks,2,Low,7/2/19,1,1,1,0,,0,0,Someone who's not his friend might see him and take a rock. 
101,7/9/13,7/7/19,5.997260274,0,,,0,1,0,0,0,1,,Buckets,1,Low,7/2/19,1,1,1,0,,0,0,Maybe somebody will come back and copy her.
101,7/9/13,7/7/19,5.997260274,0,,,0,1,0,0,0,1,,Rocks,2,High,7/2/19,1,1,1,1,0,0,1,No one will see him and no one will copy him.
102,1/12/11,7/7/19,8.487671233,0,,,0,1,0,0,0,1,,Buckets,1,High,7/2/19,1,1,1,1,0,0,0,There could be some fish in there.
102,1/12/11,7/7/19,8.487671233,0,,,0,1,0,0,0,1,,Rocks,2,Low,7/2/19,1,1,1,0,,0,0,It might collapse.
103,12/22/13,7/7/19,5.542465753,0,,,0,1,0,0,0,1,,Buckets,1,Low,7/2/19,1,1,1,0,,0,0,There might be a little bit of water left.
103,12/22/13,7/7/19,5.542465753,0,,,0,1,0,0,0,1,,Rocks,2,High,7/2/19,1,1,1,1,0,0,0,Jacob and his friends don't normally take the rocks.
104,6/18/10,7/7/19,9.057534247,0,,,0,1,0,0,0,1,,Buckets,1,High,7/2/19,1,1,1,1,0,0,1,There's only one person taking water from the lake so there will be plenty of water.
104,6/18/10,7/7/19,9.057534247,0,,,0,1,0,0,0,1,,Rocks,2,Low,7/2/19,1,1,1,2,,0,1,Only one person is getting a rock.
105,6/15/11,7/8/19,8.068493151,1,"answered ""I don't know"" to the the OK question",,0,1,0,0,0,1,,Buckets,1,Low,7/2/19,1,1,1,0,,0,,
105,6/15/11,7/8/19,8.068493151,0,,,0,1,0,0,0,1,,Rocks,2,High,7/2/19,1,1,1,1,0,0,0,It's not fair to the other kids
106,12/15/13,7/8/19,5.564383562,0,,,0,1,0,0,0,1,,Buckets,1,High,7/2/19,1,1,1,1,0,0,1,"It's okay if she takes one bucket, but if she takes a bunch of buckets then there will be no more left for the fish"
106,12/15/13,7/8/19,5.564383562,0,,,0,1,0,0,0,1,,Rocks,2,Low,7/2/19,1,1,1,2,,0,1,He's just gonna take one rock
107,6/27/15,7/8/19,4.032876712,0,,,0,1,0,0,0,1,,Buckets,1,Low,7/2/19,1,1,1,0,,0,1,Because nobody will see her
107,6/27/15,7/8/19,4.032876712,1,2 incorrect answers to control,,0,1,0,0,0,1,,Rocks,2,High,7/2/19,0,1,1,0,0,0,1,Because no one will see him
108,8/4/11,7/8/19,7.931506849,0,,,0,1,0,0,0,1,,Buckets,1,High,7/2/19,1,1,1,1,0,0,0,There will be less water
108,8/4/11,7/8/19,7.931506849,0,,,0,1,0,0,0,1,,Rocks,2,Low,7/2/19,1,1,1,0,,0,0,The path might break
109,2/2/14,7/9/19,5.432876712,0,,,0,1,0,0,0,1,,Buckets,1,Low,7/2/19,1,1,1,0,,0,0,Because the fish won't be able to swim in it
109,2/2/14,7/9/19,5.432876712,0,,,0,1,0,0,0,1,,Rocks,2,High,7/2/19,1,1,1,1,0,0,1,Because if only one person takes a rock there will still be plenty of rocks
110,5/25/10,7/9/19,9.128767123,0,,,0,1,0,0,0,1,,Buckets,1,High,7/2/19,1,1,1,1,0,0,0,She'd be lying if she said she didn't take water
110,5/25/10,7/9/19,9.128767123,0,,,0,1,0,0,0,1,,Rocks,2,Low,7/2/19,1,1,1,0,,0,0,People might notice that a rock is missing
111,8/15/08,7/9/19,10.90410959,0,,,0,1,0,0,0,1,,Buckets,1,Low,7/2/19,1,1,1,0,,0,0,Then the fish would have less water
111,8/15/08,7/9/19,10.90410959,0,,,0,1,0,0,0,1,,Rocks,2,High,7/2/19,1,1,1,1,0,0,1,Because there's still a lot of rocks left
112,10/19/09,7/9/19,9.726027397,0,,,0,1,0,0,0,1,,Buckets,1,High,7/2/19,1,1,1,1,0,0,0,If everyone did that then there'd be no more water for the fish
112,10/19/09,7/9/19,9.726027397,0,,,0,1,0,0,0,1,,Rocks,2,Low,7/2/19,1,1,1,0,,0,1,There's a lot of rocks plus nobody else wants the rocks
113,10/19/09,7/9/19,9.726027397,0,,,0,1,0,0,0,1,,Buckets,1,Low,7/2/19,1,1,1,0,,0,0,The lake wouldn't have water for the fish (he'd keep doing it everyday)
113,10/19/09,7/9/19,9.726027397,0,,,0,1,0,0,0,1,,Rocks,2,High,7/2/19,1,1,1,1,0,0,0,There'd be no more rocks for the path
114,6/7/13,7/9/19,6.090410959,0,,,0,1,0,0,0,1,,Buckets,1,High,7/2/19,1,1,1,1,0,0,1,The fish still have some water
114,6/7/13,7/9/19,6.090410959,0,,,0,1,0,0,0,1,,Rocks,2,Low,7/2/19,1,1,1,0,,0,1,There will be a whole bunch of rocks on the path
115,2/7/12,7/9/19,7.421917808,0,,,0,1,0,0,0,1,,Buckets,1,Low,7/2/19,1,1,1,0,,0,0,Maybe she'll catch a fish and the fish will die
115,2/7/12,7/9/19,7.421917808,0,,,0,1,0,0,0,1,,Rocks,2,High,7/2/19,1,1,1,1,0,0,0,Maybe he might decide he wants all of them and then the path will be gone
116,5/13/09,7/9/19,10.16164384,0,,,0,1,2,0,0,1,,Buckets,1,High,7/2/19,1,1,1,2,0,0,0,She might keep doing it and it will hurt the fish
116,5/13/09,7/9/19,10.16164384,0,,,0,1,2,0,0,1,,Rocks,2,Low,7/2/19,1,1,1,0,,0,0,Over time the rocks might disappear
117,1/12/13,7/10/19,6.493150685,0,,,0,1,0,0,0,1,,Buckets,1,Low,7/2/19,1,1,1,0,,0,0,It's not good for the fish.
117,1/12/13,7/10/19,6.493150685,0,,,0,1,0,0,0,1,,Rocks,2,High,7/2/19,1,1,1,1,0,0,1,There's way more than one.
118,2/18/12,7/10/19,7.394520548,0,,,0,1,0,0,0,1,,Buckets,1,High,7/2/19,1,1,1,1,0,0,1,There'd still be some water in the lake.
118,2/18/12,7/10/19,7.394520548,0,,,0,1,0,0,0,1,,Rocks,2,Low,7/2/19,1,1,1,0,,0,1,There'd still be more rocks left on the path.
119,5/6/14,7/10/19,5.180821918,0,,,0,1,0,0,0,1,,Buckets,1,Low,7/2/19,1,1,1,0,,0,1,There will still be water for the fish.
119,5/6/14,7/10/19,5.180821918,0,,,0,1,0,0,0,1,,Rocks,2,High,7/2/19,1,1,1,1,0,0,1,There will still be rocks left on the path.
120,5/20/13,7/10/19,6.142465753,0,,,0,1,0,0,0,1,,Buckets,1,High,7/2/19,1,1,1,1,0,0,1,Because there's still water in the lake *chagned from not okay
120,5/20/13,7/10/19,6.142465753,0,,,0,1,0,0,0,1,,Rocks,2,Low,7/2/19,1,1,1,0,,0,1,Because there's still rocks on the path *changed from not okay
121,12/2/08,7/10/19,10.60821918,0,,,0,1,0,0,0,1,,Buckets,1,Low,7/2/19,1,1,1,0,,0,1,OK if only she does it and no one else
121,12/2/08,7/10/19,10.60821918,0,,,0,1,0,0,0,1,,Rocks,2,High,7/2/19,1,1,1,1,0,0,1,Okay if only he takes it
122,8/15/11,7/10/19,7.906849315,0,,,0,1,0,0,0,1,,Buckets,1,High,7/2/19,1,1,1,1,0,0,1,Because she's not using all the water
122,8/15/11,7/10/19,7.906849315,0,,,0,1,0,0,0,1,,Rocks,2,Low,7/2/19,1,1,1,0,,0,1,Because there will be plenty of rocks and no one will see him do it
123,12/24/08,7/10/19,10.54794521,0,,,0,1,2,0,0,1,,Buckets,1,Low,7/2/19,1,2,1,0,,0,1,If she only takes one.
123,12/24/08,7/10/19,10.54794521,0,,,0,1,2,0,0,1,,Rocks,2,High,7/2/19,1,1,1,1,0,0,1,If he only takes one.
124,4/6/15,7/10/19,4.263013699,0,,,0,1,0,0,0,1,,Buckets,1,High,7/2/19,1,1,1,1,0,0,0,Because the fish won't have any.
124,4/6/15,7/10/19,4.263013699,0,,,0,1,0,0,0,1,,Rocks,2,Low,7/2/19,1,1,1,0,,0,1,Because there'll be more rocks.
125,12/30/10,7/14/19,8.542465753,0,,,0,1,0,0,0,1,,Buckets,1,Low,7/2/19,1,1,1,0,,0,1,She's the only one taking water from the lake.
125,12/30/10,7/14/19,8.542465753,0,,,0,1,0,0,0,1,,Rocks,2,HIgh,7/2/19,1,1,1,1,0,0,1,Not everyone will take a rock.
126,12/30/10,7/14/19,8.542465753,0,,,0,1,0,0,0,1,,Buckets,1,High,7/2/19,1,1,1,1,0,0,0,"If she takes water, maybe someone else will take water and then there will be no more water for the fish."
126,12/30/10,7/14/19,8.542465753,0,,,0,1,0,0,0,1,,Rocks,2,Low,7/2/19,1,1,1,0,,0,0,"If he takes a rock, other people will want to take a rock too."
127,5/17/13,7/14/19,6.161643836,0,,,0,1,0,0,0,1,,Buckets,1,Low,7/2/19,1,1,1,0,,0,0,The fish need to be in there to survive.
127,5/17/13,7/14/19,6.161643836,0,,,0,1,0,0,0,1,,Rocks,2,High,7/2/19,1,1,1,1,0,0,0,It's just not okay.
128,5/20/10,7/14/19,9.156164384,0,,,0,1,0,0,0,1,,Buckets,1,High,7/2/19,1,1,1,1,0,0,0,It's not fair that she's the only one doing it.
128,5/20/10,7/14/19,9.156164384,0,,,0,1,0,0,0,1,,Rocks,2,Low,7/2/19,1,1,1,0,,0,0,There's other people that walk on the path that might want to take rocks but they don't.
129,11/6/10,7/14/19,8.690410959,0,,,0,1,0,0,0,1,,Buckets,1,Low,7/2/19,1,1,1,0,,0,1,She's only doing it just this once
129,11/6/10,7/14/19,8.690410959,0,,,0,1,0,0,0,1,,Rocks,1,High,7/2/19,1,1,1,1,0,0,1,There will be plenty of rocks left on the path
130,1/26/13,7/14/19,6.465753425,0,,,0,1,0,0,0,1,,Buckets,1,High,7/2/19,1,1,1,1,0,0,1,Because no one else knows & there will still be plenty of water left for the fish
130,1/26/13,7/14/19,6.465753425,0,,,0,1,0,0,0,1,,Rocks,2,Low,7/2/19,1,1,1,0,,0,1,Because there will still be rocks on the path
131,11/13/10,7/14/19,8.671232877,0,,,0,1,0,0,0,1,,Buckets,1,Low,7/2/19,1,1,1,0,,0,1,She's just taking one bucket
131,11/13/10,7/14/19,8.671232877,0,,,0,1,0,0,0,1,,Rocks,2,High,7/2/19,1,1,1,1,0,0,1,Only taking a rock just this once
132,2/2/12,7/14/19,7.449315068,0,,,0,1,0,0,0,1,,Buckets,1,High,7/2/19,1,1,1,1,0,0,0,If she keeps going back there won't be enough water
132,2/2/12,7/14/19,7.449315068,0,,,0,1,0,0,0,1,,Rocks,2,Low,7/2/19,1,1,1,0,,0,1,"If he takes it once it's okay, if he keeps doing it, it's not okay"
133,2/20/10,7/14/19,9.4,0,,,0,1,0,0,0,1,,Buckets,1,Low,7/2/19,1,1,1,0,,0,0,the fish are going to lose water at some point
133,2/20/10,7/14/19,9.4,0,,,0,1,0,0,0,1,,Rocks,2,High,7/2/19,1,1,1,1,0,0,0,"If other kids find out, theyâ€™d take rocks too"
134,5/29/12,7/14/19,7.128767123,0,,,0,1,0,0,0,1,,Buckets,1,High,7/2/19,1,1,1,1,0,0,1,It's okay if it's only a few buckets but not a lot of buckets.
134,5/29/12,7/14/19,7.128767123,0,,,0,1,0,0,0,1,,Rocks,2,Low,7/2/19,1,1,1,0,,0,1,Okay if it's just one but not the whole path.
