subjectnumber,condition,context,judgment,justification,fairness,no.bad.impact,bad.impact,once,chain.reaction,others.want,secret,agreement,resource,universalization,virtues
71,High,Rocks,0,"""I don't know""",,,,,,,,,,,
92,Low,Rocks,0,"""I don't know""",,,,,,,,,,,
250,High,Rocks,0,"""I don't know""",,,,,,,,,,,
159,Low,Rocks,1,"""I forgot""",,,,,,,,,,,
257,Low,Rocks,1,"""I have a rock collection""",,,,,,,,,,,
235,High,Rocks,1,(no explanation),,,,,,,,,,,
69,Low,Buckets,1,"(originally not okay ""Because it's the fish's."") Changed to okay because there's no one else around",,1,,,,,1,,,,
R_0iyZStYihj24PId,High,Rocks,1,"Again, there is no official rule presented in the story that says one can not take a rock.",,,,1,,,,,,,
269,High,Buckets,0,All the fishes live in the water and they need water to live.,,,,,,,,,,,
R_3nUFQr8ZveQc2R9,High,Buckets,0,"Although no one would see her do it, it's still not moral. Just once could lead to the same kind of thinking from other people and end up emptying the lake.",,,,,1,,,,,,
R_RFaGIZevPYQY9l7,Low,Rocks,1,"As long as it's only one and he isn't greedy. And we know for a fact, there will NEVER be any other kids that want to take rocks. In the case, I'd say it's a victim-less crime. But this is operating under extreme circumstances. I really think the answer should be no, but given the hypothetical...",,1,,1,,,,,,,
188,Low,Rocks,1,As long as the kids don't start liking (and taking) rocks,,,,,,1,,,,,
264,High,Rocks,0,Beacuse he would take a rock before anyone else could,,,,,,,,,,,
258,High,Rocks,1,Beacuse there's lots of other rocks.,,1,,,,,,,,,
256,Low,Buckets,0,Beause there would be no more water in the spot that she took it,,,1,,,,,,1,,
233,High,Buckets,0,becasue of she takes too much water then the fish can't swim and they will die,,,,,,,,,,,
R_2amFQvzsKvYBlmS,Low,Rocks,0,because a couple more people like Jacob and it could destroy the path,,,,,1,,,,1,,
R_3GfZdpO7lUZXC6o,High,Buckets,0,Because all the kids wanted to do it ,,,,,,1,,,,,
R_V1OJw2HZWuOcqJj,High,Rocks,0,because all the other kids also wanted rocks form the path ,,,,,,1,,,,,
173,High,Rocks,1,Because everyone could share.,,1,,,,,,,,,
R_2TTBH7BwCTmloHK,High,Rocks,0,Because everyone else also wants to take a rock and it wouldn't be fair if he got to and nobody else did.,1,,,,,1,,,,,
R_1oBcDd1w4C4BDZy,High,Rocks,0,Because everyone else wants one too,,,,,,1,,,,,
R_2U4rwuDgmd40iaV,High,Buckets,0,"Because everyone else wants to do it, but is refraining, because doing so would harm the fish.  It would be a selfish act that would damage a habitat if everyone did it.",,,,,,1,,1,,,1
R_DAb8kXpOwMaFPtT,Low,Buckets,0,because everyone else will do it also,,,,,1,,,,,,
R_3knpYnRuPranccp,High,Buckets,1,Because everyone is not doing it.,,1,,,,,,1,,,
230,Low,Rocks,0,because he already took one,,,,,,,,,,,
166,High,Rocks,0,Because he could take all of them and there would be no more left,,,,,,,,,1,,
R_8IJwi6BoAz0xQsN,High,Rocks,0,because he is doing it secretively and the other kids have not taken any,,,,,,,3,1,,,
R_3iEXANsKgJBIjly,Low,Rocks,1,Because he is the only one doing it so there will be no harm done,,1,,1,,,,,,,
R_248VXlJh682wJds,Low,Rocks,1,Because he only is taking one and no one else takes them. He actually likes them.,,1,,1,,,,,,,
204,High,Rocks,0,Because he promised he wouldn't ,,,,,,,,,,,1
227,High,Rocks,1,Because he wants to take it.,,,,,,,,,,,
144,Low,Rocks,1,Because he wants to take one home,,,,,,,,,,,
R_ROaeQL5bcTTlDXj,Low,Rocks,1,Because he wants to. And there are still more rocks.,,1,,,,,,,,,
R_UVCiq72LXyqpKo1,High,Rocks,0,Because he would be breaking the compact he has with his friends to maintain the rocks.,,,,,,,,2,,,
91,Low,Rocks,0,Because he'll take all the rocks,,,1,,,,,,1,,
231,High,Rocks,1,because he's just taking one,,,,1,,,,,,,
160,High,Rocks,1,Because he's just taking one rock,,,,1,,,,,,,
R_3QVmhSK9fJaH6Tf,High,Buckets,0,because her action would bring about harm to another living creature,,,,,,,,,,,1
R_3qR5KOTtDJP4oYH,High,Buckets,0,Because if could be harmful to the fish. ,,,,,,,,,,,1
R_2SIS4dKSn7rEp7z,High,Rocks,0,"Because if everyone did this, then nobody would be able to enjoy the rocks at the path.",,,,,,,,,,1,
R_10ZYxmpj8g98vxL,High,Rocks,0,"because if everyone does that thinking no one will know, there will be no rocks left",,,,,,,,,1,1,
R_27PZg1PittVK0VJ,High,Buckets,0,"Because if everyone else thought the same way, there would still be no more water in the lake for the fish.",,,,,,,,,1,1,
222,High,Buckets,1,because if everyone takes there will be no more but if just one person does there will still be some ,,1,,,,,,,,1,
R_248VXlJh682wJds,High,Buckets,0,"Because if everyone thinks this, then there won't be enough water left.",,,,,,,,,1,1,
242,Low,Rocks,1,Because if he just takes one rock and the other kids don't then there will still be rocks. ,,1,,1,,,,,,,
233,Low,Rocks,0,because if he takes all the rocks then people couldn't follow the path,,,,,,,,,,,
75,High,Rocks,0,Because if he takes more of them there might be no path,,,,,,,,,1,,
221,Low,Rocks,0,because if he takes one maybe he'll take more,,,,,1,,,,,,
R_4Ph1iYNEGcjtSdr,Low,Rocks,0,Because if he takes the rock other people might want to as well. ,,,,,1,,,,,,
217,Low,Rocks,0,"Because if he took one everyday, the path could disapear. ",,,,,1,,,,,,
R_5ulNyszMz6lcbpT,Low,Buckets,0,"because if it were good to do it, you would not have to do it secretly",,,,,,,2,,,,
R_5ulNyszMz6lcbpT,High,Rocks,0,"because if it were good to do it, you would not have to do it secretly",,,,,,,2,,,,
R_3qR5KOTtDJP4oYH,Low,Rocks,0,"Because if it's OK for him to do it, it should be OK for everyone to do it.  But if everyone did it, there'd be no rocks left at all. ",,,,,,,,,1,1,
R_3kHaE0FsPvgA2ne,High,Buckets,1,Because if just Mary does it there will still be plenty of water left.,,1,,1,,,,,,,
222,Low,Rocks,1,"because if lots of people take it, they'll all be gone but if one does then it's ok",,1,,1,,,,,,,
R_t01JTbKM3Q8IgEh,Low,Buckets,1,"Because if Mary is the only one to take water from the lake, there will still be enough for the fish. ",,1,,1,,,,,,,
R_2amFQvzsKvYBlmS,High,Buckets,0,because if more people thought like mary and carried out their actions there will be no more water in the lake ,,,,,1,,,,,,
R_cHEEIDDjXHPVcVr,High,Buckets,0,"Because if one child takes water from the lake every day, there will not be plenty of water for the fish.",,,,,1,,,,1,,
R_1Lo3eo4BqaSFz1p,High,Buckets,1,Because if one person takes water from the lake there would still be water for the fish.,,1,,1,,,,,,,
R_saGwKdtXz4BJfix,Low,Rocks,1,Because if only one person takes a rock from the path it won't really affect it as much as if multiple people did.,,1,,1,,,,,,,
109,High,Rocks,1,Because if only one person takes a rock there will still be plenty of rocks,,1,,1,,,,,,,
R_1Lo3eo4BqaSFz1p,Low,Rocks,1,Because if only one person takes rocks then there will be plenty of rocks left.,,1,,1,,,,,,,
R_saGwKdtXz4BJfix,High,Buckets,1,Because if only one person took from the lake it wont really there would still be water for the fishes.,,1,,1,,,,,,,
R_UgpsWWg1YmrDr33,Low,Rocks,0,Because if other people see him do it and they start doing it then there will be no rocks left,,,,,1,,,,1,,
R_4Ph1iYNEGcjtSdr,High,Buckets,0,Because if she does it then other will and there will be no water left.,,,,,1,,,,1,,
232,Low,Buckets,0,because if she does it too much the lake might go away,,,,,,,,,1,,
223,Low,Buckets,0,because if she takes all the water then the fish will die,,,,,,,,,,,
177,Low,Buckets,0,Because if she took it all there would be no more water,,,,,,,,,1,,
243,Low,Buckets,1,Because if you only take one bucket there will still be water left for the fish and no one will see. ,,1,,1,,,1,,,,
R_6QLKSQCT6KsqYCd,High,Rocks,1,Because it does not matter if he takes a rock or not. There is still a lot of rocks so thus it should be okay.,,1,,,,,,,,,
R_3FVRN6I2LxUSmYV,Low,Buckets,1,Because it is just a little water,,,,,,,,,,,
R_0etoayvny9wIGSB,Low,Rocks,1,because it is just one rock,,,,1,,,,,,,
R_1hNqh4mhuIjP8BG,High,Buckets,0,Because it is not fair to the other kids and the water belongs in the lake for the fish.,1,,,,,,,,,,
R_2VeVF5SGwxeSCld,Low,Buckets,1,Because it is not harming anything an nobody else wants to take water anyways,,1,,,,,,,,,
R_3QVmhSK9fJaH6Tf,Low,Rocks,1,"Because it is only special to him, it will make him feel good to build his rock collection, he will appreciate this rock more than other people who just walk on it, and we live in a free country and should be able to make a selfish decision if we want to from time to time to feel alive.",,,,,,,,,,,
R_3GfZdpO7lUZXC6o,Low,Rocks,1,"Because it said if only one person took a rock, there would be plenty left. ",,1,,1,,,,,,,
R_1nO6tZefT2SbaYI,High,Buckets,0,Because it sets a dangerous precedence for the future ,,,1,,1,,,,,,
R_1PZSzH0Wl2DMcgC,High,Buckets,0,Because it was agreed that they would never take water from the lake,,,,,,,,2,,,
R_UgpsWWg1YmrDr33,High,Buckets,0,Because it will become a habit of hers and she will like to do it every time.,,,1,,1,,,,,,
R_3dKgEjpkawgk2CH,High,Rocks,1,Because it will cause no harm and no one will see it. It is not against the law. ,,1,,,,,1,,,,
R_r2YNf238aoLbKY9,Low,Buckets,1,Because it will not harm the lake level,,1,,,,,,,,,
R_232xT3pwWc2pGPv,Low,Buckets,0,Because it will reduce the water in the lake. ,,,1,,,,,,1,,
R_XXoY7ZJnEK3gOlj,High,Rocks,1,because it won't be notice,,1,,,,,1,,,,
R_2U4rwuDgmd40iaV,Low,Rocks,1,"Because it won't hurt the path or anyone else.  It's just a rock path, and taking a rock from a path isn't a bad thing, unless it specifically prohibited.",,1,,,,,,,,,
R_3HCvfIG2q6XqEFO,High,Buckets,0,Because it would be a waste of a natural resource that a living thing needs to survive.,,,,,,,,,,,
R_24bKHwyNXlAm4BG,High,Rocks,0,Because it would be morally wrong from what he and his friends discussed,,,,,,,,2,,,1
R_xrN9n49qzU4aUIF,High,Rocks,0,Because it would be unfair to others.,1,,,,,,,,,,
R_3iBRKxUPBtL4cmK,Low,Rocks,1,Because it would just be 1 rock.,,,,1,,,,,,,
R_u4ZZmcu788en1fj,Low,Buckets,0,because it would negatively impact the fishes enviroment.,,,,,,,,,,,
R_1PSPnS22LNKYhqE,High,Buckets,0,Because it would still be taking even if no one saw.,,,,,,,3,,,,
R_3CJfnsYsr5J4xeA,High,Rocks,0,"Because it's agreed upon that everyone wants to do it but it would be bad so nobody should do it. If jacob says it's okay because nobody else will see, every other kid could also apply that logic resulting in them all secretly doing it.",,,,,1,1,2,,,1,
R_tQ9jHD4b96u0C3L,Low,Buckets,1,Because it's just Mary doing it; no one else even wants to take the water.,,,,1,,1,,,,,
179,Low,Buckets,1,Because it's just one person,,,,1,,,,,,,
179,High,Rocks,1,Because it's just one rock,,,,1,,,,,,,
R_3HCvfIG2q6XqEFO,Low,Rocks,1,Because it's just one rock which won't make any difference. He likes to collect rocks and rock collecting is a great hobby for kids.,,1,,1,,,,,,,
R_tQ9jHD4b96u0C3L,High,Rocks,1,Because it's just one rock; there would still be enough for other kids.,,1,,1,,,,,,,
R_3kHyD21uCnegj6b,High,Rocks,1,Because it's just one rock.,,,,1,,,,,,,
R_232xT3pwWc2pGPv,High,Rocks,1,Because it's no wrong to take the rocks on the part. ,,,,,,,,,,,
R_8J7gm2H8yr0BIQx,Low,Rocks,0,"Because it's not his it might be there for a reason, at that age he shouldn't just take things because he likes them",,,,,,,,,,,1
228,High,Rocks,0,Because it's not his rock.,,,,,,,,,,,1
R_0etoayvny9wIGSB,High,Buckets,1,because it's not much water,,,,,,,,,,,
79,High,Rocks,0,Because it's not okay to take rocks from somewhere and it's not okay to do something when no one else is there,,,,,,,2,,,,
205,Low,Rocks,0,because it's part of nature,,,,,,,,,,,
227,Low,Buckets,1,because its fine,,1,,,,,,,,,
R_2WGrYskcAyHyiTA,High,Buckets,1,"Because its just a pail of water, its not gallons ",,1,,1,,,,,,,
R_s5ryEJIREndMOI1,Low,Rocks,1,because its just a rock,,,,1,,,,,,,
R_3lWY8TEGzKIm5oy,Low,Buckets,1,because its just her and no one else is hitting the lake to steal the water so it should be fine. A childs happy memory is worth one bucket of water for her sand castle.,,1,,1,,,,,,,
R_3JwLfG8503YmpHM,Low,Buckets,1,Because its not a big deal and nobody else wants to do it anyways.,,1,,,,1,,,,,
R_W8tLg0BamhqAuRP,High,Rocks,0,Because Jacob has to set up good example.,,,,,,,,,,,1
146,High,Rocks,0,Because Jacob might keep doing it and the other rocks will be gone,,,,,1,,,,1,,
R_3iEXANsKgJBIjly,High,Buckets,0,Because just because no one sees her do it does not mean its not wrong to do it still.,,,,,,,3,,,,
R_3CJfnsYsr5J4xeA,Low,Buckets,1,"Because just her taking the water wont hurt the fish. Not only is there nobody to see her do it, even if there were they don't want to join in anyways.",,1,,,,1,1,,,,
155,Low,Rocks,1,Because no one else is around,,,,,,,1,,,,
130,High,Buckets,1,Because no one else knows & there will still be plenty of water left for the fish,,1,,,,,1,,,,
R_3lWY8TEGzKIm5oy,High,Rocks,1,because no one else takes from the rocks so one rock won't be missed or noticed,,1,,,,,1,,,,
R_3VggOKaTL3SFuF3,Low,Buckets,1,because no one else wants the water and there is no one around to see her do it ,,,,,,1,1,,,,
R_1oBcDd1w4C4BDZy,Low,Buckets,1,Because no one else wants to.,,,,,,1,,,,,
R_0iW6I37SP4IsDDP,Low,Buckets,1,Because no one else wants water so it won't affect the fish.,,1,,,,1,,,,,
R_3hooG5zk1PDlTV6,High,Rocks,0,Because no one else will take one and it will be unfair to others. ,1,,,,,,,1,,,
R_22DNZOrCl9SZTSy,Low,Rocks,0,Because no one is taking rock's from the path,,,,,,,,1,,,
149,High,Buckets,1,Because no one is watching,,,,,,,1,,,,
R_wUnagtBvWEMPoeR,Low,Rocks,1,Because no one will see him do it. ,,,,,,,1,,,,
R_wUnagtBvWEMPoeR,High,Buckets,1,Because no one will see that she's done. ,,,,,,,1,,,,
R_zduaS3xuGoLEcFj,High,Rocks,1,because nobody else took one and nobody saw him do it,,,,,,,1,,,,
R_zduaS3xuGoLEcFj,Low,Buckets,1,because nobody else wanted to anyway,,,,,,1,,,,,
69,High,Rocks,1,Because nobody will do it and nobody will do the same thing,,,,,,,,,,,
107,Low,Buckets,1,Because nobody will see her,,,,,,,1,,,,
R_Z4tfJtWN5zGXDeV,High,Buckets,0,Because none else does it. If everyone decided to do it in secret there would be no more water left for the fish. ,,,,,1,,3,1,,,
204,Low,Buckets,0,because none of the other kids did that,,,,,,,,1,,,
R_SZPfGzNyt6f3yal,High,Rocks,0,because none of the other kids do it ,,,,,,,,1,,,
R_1lt0q3VbQrsViqn,Low,Rocks,1,Because none of the other kids want to take them so there will still be plenty more.,,1,,,,1,,,,,
R_NXgy9gNi3QJ5zVv,Low,Buckets,1,"Because one bucket of water removed won't do any harm to the lake or fish. No one else wants to do it, so there's no danger of too much water being removed.",,1,,1,,,,,,,
R_29ppTBvO2eSKTWH,High,Buckets,1,Because one bucket of water will not hurt anything. ,,1,,1,,,,,,,
R_0qAx9wtO1Ho5ELD,Low,Buckets,1,Because others aren't doing it as well.,,,,,,,,1,,,
R_1Q3ZpDPhs53zGNs,High,Buckets,0,"Because people should not take water from the lake, as the supply is limited.",,,,,,,,,,,
R_2P064DLQFISK33A,High,Buckets,0,Because people will see her and do and kill all the fish,,,1,,1,,,,,,
230,High,Buckets,0,because she already took some,,,,,,,,,,,
R_1KltR1dJtsvZVRI,Low,Buckets,1,Because she can,,,,,,,,,,,
221,High,Buckets,0,because she could be taking more water,,,,,,,,,,,
R_3suYLedNDpXsBqs,High,Buckets,0,Because she is purposely wants nobody to see her do it,,,,,,,2,,,,
215,Low,Buckets,1,Because she likes to do it,,,,,,,,,,,
R_pKSyKaTNfbOy1e9,High,Buckets,1,Because she only did it once.,,,,1,,,,,,,
201,High,Buckets,0,Because she promised she would never take water from the lake,,,,,,,,,,,1
R_ROaeQL5bcTTlDXj,High,Buckets,1,Because she wants to do it. And there will still be water left.,,1,,,,,,,,,
91,High,Buckets,0,Because she'll use all the water,,,1,,,,,,1,,
R_8IJwi6BoAz0xQsN,Low,Buckets,0,because she's doing it secretly,,,,,,,2,,,,
217,High,Buckets,1,Because she's not taking it everyday.,,,,,,,,,,,
122,High,Buckets,1,Because she's not using all the water,,1,,,,,,,,,
251,High,Buckets,1,"Because she's only doing it once, not 5 million times.",,,,1,,,,,,,
R_3kHyD21uCnegj6b,Low,Buckets,1,Because she's only one person taking water from the lake.,,,,1,,,,,,,
79,Low,Buckets,0,Because she's taking water away from the lake where fish live and maybe the fish won't survive,,,,,,,,,,,
R_3meiDr3wtEjJgEl,Low,Buckets,1,Because she's the only one doing so.,,,,1,,,,,,,
R_3hooG5zk1PDlTV6,Low,Buckets,0,Because shes doing it without people watching and only once. ,,,,1,,,2,,,,
R_2qwOdWTQEZWuVSe,High,Rocks,1,"Because some kids pick up rocks, most do not",,,,,,1,,,,,
216,High,Rocks,0,Because some people like walking on the path and they might get mad,,,,,,,,,,,
R_DAb8kXpOwMaFPtT,High,Rocks,0,because soon everyone would take one and there would be none left,,,,,1,,,,,1,
R_2WGrYskcAyHyiTA,Low,Rocks,1,Because taking a rock is not stealing. The common rock comes from the earth,,,,,,,,,,,
R_8J7gm2H8yr0BIQx,High,Buckets,0,Because that is being selfish ,,,,,,,,,,,1
231,Low,Buckets,0,because the fish will be getting less water,,,1,,,,,,,,
196,High,Buckets,0,Because the fish will die,,,1,,,,,,,,
71,Low,Buckets,0,Because the fish will die if she takes some water,,,1,,,,,,,,
R_2oF52vBqUgz5Fjr,Low,Buckets,1,Because the fish will still have enough water to live.,,1,,,,,,,,,
109,Low,Buckets,0,Because the fish won't be able to swim in it,,,1,,,,,,,,
124,High,Buckets,0,Because the fish won't have any.,,,1,,,,,,,,
78,Low,Rocks,0,Because the friends said they want to take rocks,,,,,,1,,,,,
R_1r0M5OgP5A5nYOh,High,Buckets,0,because the kids want to keep the water in the lake.,,,,,,1,,,,,
R_2VeVF5SGwxeSCld,High,Rocks,0,"Because the other kids also want to take a rock and he knows this, it would be unfair for him to take on in secret.",1,,,,,1,2,,,,
R_V1OJw2HZWuOcqJj,Low,Buckets,1,because the other kids have already stated that they don't want to take water from the lake.,,,,,,1,,,,,
R_NXgy9gNi3QJ5zVv,High,Rocks,0,"Because the other kids might seem him doing it, and then they might be prompted to take rocks, too, which would destroy the path",,,,,1,,,,,,
R_3iBRKxUPBtL4cmK,High,Buckets,0,Because the other kids would like to do it so it wouldn't be fair for her to.,1,,,,,1,,,,,
R_1PZSzH0Wl2DMcgC,Low,Rocks,0,Because the others don't,,,,,,,,,,,
232,High,Rocks,0,because the path might go away if he does it too much,,,,,1,,,,,,
R_rq1nQPDLBEnYwDv,Low,Rocks,1,"Because the path will still have enough rocks if he removes just one. Also, the other kids wouldn't be jealous since they aren't really interested in rocks anyway.",,1,,,,1,,,,,
177,High,Rocks,0,Because then everyone will want to do it ,,,,,1,1,,,,,
286,High,Rocks,0,Because then there will be one rock missing.,,,1,,,,,,,,
186,Low,Rocks,0,because then there won't be enough rocks for his friends,,,1,,,,,,,,
220,Low,Buckets,0,Because then there would be no more water for the fish to seim through,,,,,,,,,1,,
80,High,Buckets,0,Because then there would be no water for the fish,,,,,,,,,1,,
220,High,Rocks,0,Because then they can't see the path anymore,,,1,,,,,,,,
R_tVQA0XX7NpcHzZ7,Low,Buckets,0,Because there are bound to be more kids like Mary and eventually the water would be depleted from the lake.,,,,,1,,,,,,
R_1r0M5OgP5A5nYOh,Low,Rocks,1,Because there are more rocks on the path.,,1,,,,,,,,,
R_1EYXFOCKlyczyVo,Low,Rocks,1,Because there are plenty of rocks left.,,1,,,,,,,,,
R_1hMdxnWaB4ByolZ,Low,Buckets,1,"Because there is plenty of water left for the fish. The water cycle ensures that after Mary does this, the water will eventually end up back in the ocean.",,1,,,,,,,,,
76,Low,Rocks,1,Because there still would be pelnty of rocks,,1,,,,,,,,,
R_1lt0q3VbQrsViqn,High,Buckets,1,Because there will be enough water left for the fish if only one person does it.,,1,,,,,,,,,
286,Low,Buckets,0,Because there will be less water for the fish. ,,,1,,,,,,,,
122,Low,Rocks,1,Because there will be plenty of rocks and no one will see him do it,,1,,,,,1,,,,
R_2oF52vBqUgz5Fjr,High,Rocks,1,Because there will still be enough rocks on the path.,,1,,,,,,,,,
243,High,Rocks,1,Because there will still be enough rocks on the rock path and no one will see. ,,1,,,,,1,,,,
137,High,Buckets,1,Because there will still be enough water,,1,,,,,,,,,
R_rq1nQPDLBEnYwDv,High,Buckets,1,Because there will still be enough water in the lake for the fish.,,1,,,,,,,,,
226,Low,Rocks,1,because there will still be more rocks.,,1,,,,,,,,,
R_1nO6tZefT2SbaYI,Low,Rocks,1,Because there will still be plenty of other rocks,,1,,,,,,,,,
R_1hMdxnWaB4ByolZ,High,Rocks,1,Because there will still be plenty of rocks left and many more rocks exist in the world. ,,1,,,,,,,,,
R_bQpQSoga2rTdsAh,Low,Buckets,1,Because there will still be plenty of water left for the fish.,,1,,,,,,,,,
238,Low,Rocks,1,because there will still be rocks,,1,,,,,,,,,
154,High,Rocks,1,Because there will still be rocks left,,1,,,,,,,,,
130,Low,Rocks,1,Because there will still be rocks on the path,,1,,,,,,,,,
173,Low,Buckets,1,Because there will still be water and the other kids don't want water on their castles,,1,,,,1,,,,,
154,Low,Buckets,1,Because there will still be water left,,1,,,,,,,,,
R_XiVipkCod6masut,Low,Buckets,1,Because there will water left over for the fishes and no one else wants their castles wet.,,1,,,,1,,,,,
226,High,Buckets,0,Because there wont be enough water for the fish.,,,1,,,,,,,,
R_0iW6I37SP4IsDDP,High,Rocks,0,Because there would be none left on the path because others may want to do the same.,,,,,1,1,,,,,
R_u4ZZmcu788en1fj,High,Rocks,0,"because there would be one less rock on the path, and his friends had already come to an agreement. ",,,,,,,,2,,,
239,High,Rocks,1,because there would still be a lot of rocks on the path,,1,,,,,,,,,
R_bQpQSoga2rTdsAh,High,Rocks,1,Because there would still be plenty of rocks left on the path.,,1,,,,,,,,,
R_UVCiq72LXyqpKo1,Low,Buckets,1,Because there would still be plenty of water left for the fish.,,1,,,,,,,,,
R_3VggOKaTL3SFuF3,High,Rocks,1,because there would still be rocks and no one would see him do it so no hard feelings,,1,,,,,1,,,,
