subjectnumber,condition,context,judgment,justification,fairness,no.bad.impact,bad.impact,once,chain.reaction,others.want,secret,agreement,resource,universalization,virtues
R_XiVipkCod6masut,High,Rocks,1,Because there would still be rocks left over on the path and it will help him with his rock collection.,,1,,,,,,,,,
239,Low,Buckets,1,because there would still be water left,,1,,,,,,,,,
124,Low,Rocks,1,Because there'll be more rocks.,,1,,,,,,,,,
237,Low,Rocks,1,because there's a lot more rocks on the path,,1,,,,,,,,,
257,High,Buckets,0,because there's a lot of fish in there,,,,,,,,,,,
237,High,Buckets,1,because there's enough water that the fish will still live,,1,,,,,,,,,
85,High,Rocks,1,Because there's more rocks.,,1,,,,,,,,,
R_W8tLg0BamhqAuRP,Low,Buckets,1,Because there's plenty of water in the lake.,,1,,,,,,,,,
111,High,Rocks,1,Because there's still a lot of rocks left,,1,,,,,,,,,
225,Low,Rocks,1,Because there's still more rocks.,,1,,,,,,,,,
225,High,Buckets,1,Because there's still plenty more,,1,,,,,,,,,
93,Low,Rocks,1,Because there's still plenty of rocks if he takes it,,1,,,,,,,,,
205,High,Buckets,1,because there's still plenty of water,,1,,,,,,,,,
120,Low,Rocks,1,Because there's still rocks on the path *changed from not okay,,1,,,,,,,,,
93,High,Buckets,1,Because there's still water for the fish,,1,,,,,,,,,
120,High,Buckets,1,Because there's still water in the lake *chagned from not okay,,1,,,,,,,,,
164,High,Buckets,1,Because there's still water left,,1,,,,,,,,,
216,Low,Buckets,0,Because they might notice the water has gone down,,,,,,,,,,,
242,High,Buckets,0,Because they said they weren't going to do it.,,,,,,,,2,,,
149,Low,Rocks,1,Because they're not watching,,,,,,,1,,,,
147,Low,Buckets,0,Because things in lake need water to survive,,,,,,,,,,,
R_tVQA0XX7NpcHzZ7,High,Rocks,0,"Because what if everyone thought the same way Jacob does? Eventually, there would be no more rocks left on the path.",,,,,1,,,,,1,
170,Low,Rocks,0,Because what if other people wanted to take rocks besides his friends.,,,,,,1,,,,,
R_2qwOdWTQEZWuVSe,Low,Buckets,1,"Because when a child goes to a lake, they play with the water naturally.",,,,,,,,,,,
186,High,Buckets,0,Because when her friends take it there will be no more left,,,1,,1,,,,1,,
R_2aWiNr1RnforkYl,Low,Buckets,1,because when u pour it over the castles at the side of the lake the water will eventually seep back to the lake,,1,,,,,,,,,
R_2QEx4vO54oNktTK,Low,Buckets,1,"Because, realistically, she's not really harming the fish or the lake by taking water.",,1,,,,,,,,,
R_3QLVvFSsij4YQMl,High,Rocks,1,Cause its only one and no one sees the tree that falls in the woods. Does it make a sound?,,,,1,,,,,,,
R_3QLVvFSsij4YQMl,Low,Buckets,1,Cause no one will see and there is plenty left.,,1,,,,,,,,,
280,High,Rocks,0,Cuz if she takes a rock then no one else can take a rock and it's not fair. ,1,,,,,,,,,,
215,High,Rocks,0,dont want to get rocks from the rock path,,,,,,,,,,,
R_cHEEIDDjXHPVcVr,Low,Rocks,0,"Eventually, there would not be enough rocks for the path.",,,,,,,,,,,
R_4Jl6exBDcj8cTCh,High,Rocks,0,"everyone else (including him) agreed not to take a rock, so he should honor that",,,,,,,,2,,,
R_2v81zDfMgN8OOvB,Low,Rocks,0,Everyone else agreed not to,,,,,,,,2,,,
R_2v81zDfMgN8OOvB,High,Buckets,0,Everyone else isn't. She shouild be moral.,,,,,,,,1,,,1
R_1EXtifJFyIecmtH,High,Rocks,0,Everyone else won't be able to take one ,,,1,,,,,,,,
R_r2YNf238aoLbKY9,High,Rocks,0,"Everyone wants to, but doesnt",,,,,,1,,1,,,
R_3JrqsAj9CEj5Zso,Low,Rocks,0,"First, disturbing nature should be a no-no. In this instance it might be okay since no others want it (kind of like a scientist collecting a sample of a rare thing)",,,,,,1,,,,,
190,Low,Buckets,0,fishes need water,,,,,,,,,,,
R_1l9ojTRYjMjYj44,High,Rocks,0,Giving into desires once leads to it happening again,,,,,1,,,,,,
195,Low,Rocks,0,He already took one,,,,,,,,,,,
151,High,Rocks,0,He and his friends said they weren't going to,,,,,,,,2,,,
223,High,Rocks,1,he can take the big rock and use the little rocks in his collection to fill the hole in the path,,1,,,,,,,,,
171,High,Rocks,0,He could do it again and there won't be any left.,,,,,1,,,,1,,
259,Low,Rocks,0,He didn't have permission to do it.,,,,,,,,,,,1
R_1rB4KhXbPcDsgVz,High,Rocks,0,He doesn't now whether the other kids will have the same idea.,,,,,,,,,,,
R_2y3OiQDonRaf9ho,High,Rocks,1,He is the only one taking a rock so there will be plenty left on the path,,1,,1,,,,,,,
R_1GVcaqaoFSen3wS,High,Rocks,1,He is the only one taking a rock.,,,,1,,,,,,,
R_279lAkSVAE2m8Y2,Low,Rocks,1,"He is the only one who wants to take a rock, none of the other kids are interested, so it will only be one rock.",,1,,1,,,,,,,
87,High,Rocks,1,He likes doing that.,,,,,,,,,,,
R_1Q3ZpDPhs53zGNs,Low,Rocks,0,He should leave the rocks for the path.,,,,,,,,,,,
R_3suYLedNDpXsBqs,Low,Rocks,0,he wants nobody to see him,,,,,,,2,,,,
R_R8EJH4mSNVMgjLj,High,Rocks,0,He would be taking something while the rest of the group would not be able to.,,,,,,,,,,,
R_20V8qrPPx2MQDlo,Low,Rocks,1,He would be the only one so there would be rocks left.,,1,,1,,,,,,,
95,High,Rocks,0,He'll keep taking the rocks,,,,,1,,,,,,
276,High,Rocks,1,He's all alone,,,,,,,1,,,,
R_30poatZC6sfmjv8,High,Rocks,0,he's cheating.,,,,,,,,,,,1
245,Low,Rocks,0,He's decreasing the amount of rocks and soon there will be none left.,,,1,,1,,,,1,,
106,Low,Rocks,1,He's just gonna take one rock,,,,1,,,,,,,
253,Low,Rocks,1,He's just taking one rock for this one day.,,,,1,,,,,,,
251,Low,Rocks,1,"He's not taking all the rocks, he's just taking one.",,,,1,,,,,,,
86,Low,Rocks,1,He's only doing it once and there's still more rocks.,,1,,1,,,,,,,
R_2DMjfN9HBiFUPXj,Low,Rocks,1,He's the only one and he just wants it for his collection.,,,,1,,,,,,,
90,Low,Rocks,1,He's the only one taking rocks from the path,,,,1,,,,,,,
R_3meiDr3wtEjJgEl,High,Rocks,1,He's the only one taking rocks.,,,,1,,,,,,,
234,Low,Rocks,1,he's the only one that likes to collect rocks,,,,1,,,,,,,
R_1LZNLXhVOTB4wrv,High,Rocks,1,he's the only one to take a rock this time,,,,1,,,,,,,
R_3fGACrLfXNwoVkQ,High,Rocks,1,He's the only one.,,,,1,,,,,,,
R_3JrqsAj9CEj5Zso,High,Buckets,0,"How many others might have the same idea? She might think she's the only one, but why risk it?",,,,,1,,,,,,
R_3iybQRxCZXozQh9,High,Buckets,1,I don't believe that one bucket will hurt.,,1,,1,,,,,,,
76,High,Buckets,0,I don't know,,,,,,,,,,,
R_t01JTbKM3Q8IgEh,High,Rocks,1,"I don't think Jacob has many options for getting rocks into his collection, and this is a good way to add to his collection. Also, if he is the only one to take a rock, there will still be rocks left on the path.",,,,1,,,,,,,
R_tG2HXmpzLv6Sq3L,High,Rocks,1,I dont believe the scenario suggested that rocks could all be gone ....,,,,,,,,,,,
166,Low,Buckets,0,I dont know,,,,,,,,,,,
R_3hyX1Ipukz7oDwv,High,Buckets,0,"I feel like this time it is different than the other scenario and it's not okay, because there was more at stake in this situation. The fish need the water to survive. If there were multiple people like Mary who wanted to fill their bucket and pour it on their castle with no one knowing, there would be very little water remaining and fish could die. I think it is not okay. ",,,,,1,,,,,,
R_1QH2NwiXowNLMyH,Low,Rocks,0,"I honestly have no idea, unless they aren't ""just rocks"", but are crystals or gems or something more valuable & he doesnt realize it. ",,,,,,,,,,,
R_6QLKSQCT6KsqYCd,Low,Buckets,1,I think it is okay because she is the only person who wants the water and its only a small amount that will not make a difference. ,,1,,1,,1,,,,,
R_3dKS32SZq8tC9p2,Low,Rocks,1,I think it would be OK because it isn't really hurting anything and there are a lot of rocks on the path.,,1,,,,,,,,,
R_3dKS32SZq8tC9p2,High,Buckets,0,I think it's not OK because there are a lot of things that could happen with the lake water.,,,,,,,,,,,
R_3hyX1Ipukz7oDwv,Low,Rocks,1,"I think it's okay because no one else want to take rocks from the path, so there will be plenty more rocks left if Jacob takes one for his rock collection.",,1,,,,1,,,,,
R_SVvkw3KWBWexBwR,High,Rocks,0,"I think Jacob should assume that everyone else can still take a rock eventually and fully deplete the path.  So he shouldn't take a rock and contribute to that negative outcome, even if in isolation it appears that what he's doing isn't harmful.",,,,,1,,,,,1,
R_1ouLvBpn1othUFT,Low,Rocks,0,I think that people should behave in a way that they expect other people to behave.,,,,,,,,,,,1
R_1BRTsaBadtb9HSk,High,Rocks,0,"I think that since the rocks are finite, it's not right to take one.",,,,,,,,,,,
R_9mBoPAjWIitsBxv,Low,Rocks,0,"If every one took a rock from the path, there would be none left.",,,,,,,,,1,,
112,High,Buckets,0,If everyone did that then there'd be no more water for the fish,,,,,,,,,1,,
R_3jfmTZ8jobwLaoz,High,Buckets,0,"If everyone did that while thinking no one saw, there would eventually be no more water in the lake for the fish.",,,,,,,3,,1,,
R_dgprOSKhQOleVyx,High,Rocks,0,"If everyone else is being selfless by not taking the rock, then Jacob should not be selfish.",,,,,,,,,,,1
R_ST7dsONXjYcaHap,High,Rocks,0,If everyone had that mindset there would be no rocks left,,,,,,,,,1,1,
R_9mBoPAjWIitsBxv,High,Buckets,0,"If everyone had the same idea, there would be no water left for the fish",,,,,,,,,1,1,
268,Low,Buckets,0,"If everyone takes water from the lake, there'd be no more water left for the fish.  ",,,,,,,,,1,1,
268,High,Rocks,0,"If everyone took a rock from the path, there'd be no more path left.",,,,,,,,,1,1,
142,High,Rocks,0,"If he does, everyone else won't know and they don't normally take the rocks.",,,,,,,2,,,,
247,Low,Rocks,0,If he keeps doing it then there will be no more rocks left,,,,,1,,,,1,,
94,Low,Rocks,0,"If he keeps taking rocks, there will be none for the path",,,,,1,,,,1,,
R_120fUzypKYmRYQb,Low,Rocks,1,if he only takes one rock for his collection there will still be plenty of rocks left on the path,,1,,1,,,,,,,
254,High,Rocks,1,If he only takes one rock then there will be plenty of rocks left.,,1,,1,,,,,,,
123,High,Rocks,1,If he only takes one.,,,,1,,,,,,,
180,Low,Rocks,0,If he takes a rock then maybe other people will take it,,,,,1,,,,,,
126,Low,Rocks,0,"If he takes a rock, other people will want to take a rock too.",,,,,1,,,,,,
132,Low,Rocks,1,"If he takes it once it's okay, if he keeps doing it, it's not okay",,,,1,,,,,,,
R_1NxY8BBX1drMAmb,High,Rocks,0,"If he takes it, why shouldn't the other kids be allowed to take a rock too? It would be very selfish of him to do so.",,,,,,,,,,,
278,High,Rocks,0,If he takes one everyone else will want to.,,,,,1,,,,,,
224,High,Rocks,0,if he takes one he might take more,,,,,1,,,,,,
158,Low,Rocks,0,"If he takes one rock, he might be tempted to take another.",,,,,1,,,,,,
R_12bYnrPyD3Crtsr,High,Rocks,1,If Jacob wants a rock he should take the rock. Since the others will not feel like they deserve a rock too since Jacob took one then the path will still have rocks.,,1,,,,,,,,,
97,High,Rocks,0,"if just one time, there would still be plenty of rocks but there would be fewer rocks",,,,,,,,,,,
281,High,Buckets,0,"If one person takes it, then other people have the right to do it too and then the water will be gone. ",,,,,1,,,,1,,
133,High,Rocks,0,"If other kids find out, they’d take rocks too",,,,,1,,,,,,
R_2DMjfN9HBiFUPXj,High,Buckets,0,"If other kids think the same as her when they're at the water early, then there won't be anymore water for the fish.",,,,,1,,,,1,1,
167,High,Buckets,0,"If other people do it, there will be no more water.",,,,,1,,,,1,,
171,Low,Buckets,0,"If she does it again, there might not be any water left.",,,,,1,,,,1,,
R_28NcdATGSRFNCGf,Low,Buckets,1,"If she does it just once and is the only person to do it, there will not be a large effect on the lake. Mary will be happy and the fish in the lake will not be harmed. Limited resource use can be allowable provided it is done in a way as to not deplete the resource. For example, whaling is done by the Inuit and is small enough in scale that it does not harm the overall health of global whale populations. However, when whaling was popular at a global level it was harmful.",,1,,,,,,,,,
78,High,Buckets,0,If she does it then her other friends will want to do it,,,,,1,,,,,,
R_2TmDjuPoMFkpPxB,Low,Buckets,1,If she is the only one doing it there is no harm according to the earlier passage,,1,,1,,,,,,,
R_2y3OiQDonRaf9ho,Low,Buckets,1,If she is the only one taking water than there will be plenty left for the fish,,1,,1,,,,,,,
86,High,Buckets,1,If she just does it once then there will be plenty of water left.,,1,,1,,,,,,,
254,Low,Buckets,1,If she just takes a little bit there will still be water left for the fish.,,1,,,,,,,,,
75,Low,Buckets,0,If she keeps doing it she might take too much,,,,,1,,,,,,
247,High,Buckets,0,"If she keeps doing it, there will be no more.",,,,,1,,,,1,,
94,High,Buckets,0,"If she keeps doing it, there'll be none left and she's doing something wrong",,,,,1,,,,1,,
132,High,Buckets,0,If she keeps going back there won't be enough water,,,,,1,,,,,,
199,Low,Buckets,0,If she keeps on doing it then the lake will run out of water,,,,,1,,,,1,,
R_2rZyBpOho1gkQzs,Low,Buckets,1,if she only does it once it will be ok.,,,,1,,,,,,,
123,Low,Buckets,1,If she only takes one.,,,,1,,,,,,,
191,High,Buckets,1,If she only taks water one time there will still be water left.,,1,,1,,,,,,,
R_1EYXFOCKlyczyVo,High,Buckets,1,If she takes a bucket of water there will be plenty of water left for the fish.,,1,,,,,,,,,
126,High,Buckets,0,"If she takes water, maybe someone else will take water and then there will be no more water for the fish.",,,,,1,,,,1,,
144,High,Buckets,0,"If she took water, then there'd be no more water",,,,,,,,,1,,
172,Low,Rocks,0,"If someone sees him taking a rock, they might take one too",,,,,1,,,,,,
R_e2paI3w49xFCJ8Z,High,Buckets,0,"If the lake is small enough, this can cause a huge ecological problem.",,,,,,,,,,,
84,Low,Rocks,0,If the other kids came to get rocks there'd be no more rocks,,,,,1,,,,1,1,
84,High,Buckets,0,If the other kids came to get water there'd be no more water,,,,,1,,,,1,1,
213,Low,Rocks,1,If theres still rocks left,,,,,,,,,,,
213,High,Buckets,1,If theres still water left,,,,,,,,,,,
175,High,Buckets,0,"If they see it, they might want to do it. ",,,,,1,,,,,,
284,High,Rocks,0,If they take one every day then there will be no more rocks.,,,,,1,,,,1,,
156,High,Rocks,0,"If they take one, they'll want to take more.",,,,,1,,,,,,
156,Low,Buckets,0,"If they took water from the lake, they might want to do it again and people might be watching.",,,,,1,,,,,,
284,Low,Buckets,0,If you take water every day then there will be no more water left for the fish.,,,,,1,,,,1,,
R_28NcdATGSRFNCGf,High,Rocks,0,In this case the rocks are a wanted resource and there is a shared desire among all of the kids to leave the rocks where they are to protect the path. Taking a rock would not greatly damage the path but would possibly allow for other kids to justify taking rocks.,,,,,1,1,,2,,,
R_1LSa2ShTqtGgdqd,High,Rocks,0,Integrity- Jacob should do the right thing even when no one is looking. ,,,,,,,2,,,,1
277,High,Buckets,0,it could hurt the animals and circle of life and it's stealing,,,,,,,,,,,1
R_tG2HXmpzLv6Sq3L,Low,Buckets,1,it does no harm ,,1,,,,,,,,,
R_3nUFQr8ZveQc2R9,Low,Rocks,1,It doesn't seem to have any major benefits to the future of the path.,,1,,,,,,,,,
R_3OdMpLQT2zinmi7,Low,Buckets,1,It has no effect on the lake.,,1,,,,,,,,,
R_2c0Jw2XvuEiTVVS,High,Buckets,1,It is a lake it really won't run out of water. ,,1,,,,,,,,,
R_1hNqh4mhuIjP8BG,Low,Rocks,0,"It is a path, not a place to take the rocks.  He has no right to take a rock from this path.",,,,,,,,,,,
R_3e1SS4QrauWlFkn,Low,Rocks,1,"It is a rock, plenty of people take flowers, rocks, shells, etc. all the time. People collect these things. ",,,,,,,,,,,
R_1KltR1dJtsvZVRI,High,Rocks,1,It is just one ,,,,1,,,,,,,
R_2BqCMFYWVzbExYl,High,Rocks,1,It is just one rock.,,,,1,,,,,,,
R_3JF6SOI8KSCyBYj,Low,Rocks,1,It is not hurting anyone to take a rock and it is more valuable to him than others and he will be happier for it.,,1,,,,,,,,,
R_ABuGnf8X9XF30zf,Low,Rocks,1,It is okay if only one takes a rock. ,,,,1,,,,,,,
R_2uU0nmLHzUGoECO,Low,Rocks,1,It is only one rock.,,,,1,,,,,,,
R_2uU0nmLHzUGoECO,High,Buckets,1,It is only one time.,,,,1,,,,,,,
R_2q7Bq7TJ2ItkKof,High,Buckets,0,"It is the beginning of a deceitful behavior. Whether taking one bucket of water when no one else can see, or not, ultimately if  enough people think this way, the lake will be emptied.",,,1,,,,,,,,1
R_2y9F2wUa9J6WsKE,Low,Rocks,0,It is unethical for Jacob to take something that does not belong to him.,,,,,,,,,,,1
R_3e1SS4QrauWlFkn,High,Buckets,1,"It is water from a lake, it is normal. This is not a matter of death for the fish. I cannot imagine a bunch of kids draining a lake. ",,,,,,,,,,,
R_3OvJ6KPi0f3WwXn,Low,Buckets,1,it isn't hurting the fish,,1,,,,,,,,,
R_1Dr2PSdcKkbxEBi,Low,Rocks,0,"it like stealing. Someone made this path with rocks, and when you take one, it's stealing.",,,,,,,,,,,1
102,Low,Rocks,0,It might collapse.,,,,,,,,,,,
R_1l9ojTRYjMjYj44,Low,Buckets,1,It not like she is destorying the fishes habitat,,1,,,,,,,,,
R_3lxlQ7yt3N9AD6z,High,Rocks,0,It sounds like Jacob and his friends agreed not to take rocks. Just because no one will see him doesn't mean it is OK to do. What if the other kids all end up in a similar situation and they all take a rock thinking they are the only ones taking rocks and no one is seeing them? Then the path would have no rocks.,,,,,1,,3,2,,,
R_2q7Bq7TJ2ItkKof,Low,Rocks,0,"It will become a habit and this habit disrupts the landscape. Taking bits here and there, while maybe not noticeable, destroys the specific biome/environment a bit at a time.",,,1,,1,,,,,,
R_0iD6kXezkA0B3Db,High,Buckets,0,It will deplete the lake if people take from it.,,,,,,,,,,,
R_2TGIpXWHjz9Gy5L,Low,Buckets,0,it will hurt the fish,,,1,,,,,,,,
158,High,Buckets,0,It will run out of water.,,,1,,,,,,1,,
74,High,Buckets,0,It will still leak out,,,1,,,,,,,,
R_3qwVcxPDeEdroO5,Low,Rocks,1,it won't affect anything and nobody else wants to do it.,,1,,,,,,,,,
R_3qwVcxPDeEdroO5,High,Buckets,1,It won't affect this fish and nobody will know.,,1,,,,,1,,,,
R_XXoY7ZJnEK3gOlj,Low,Buckets,1,it won't be notice,,1,,,,,1,,,,
R_2tEhqBCIhegIPRy,High,Buckets,1,It won't hurt the fish,,1,,,,,,,,,
R_30poatZC6sfmjv8,Low,Buckets,1,It wont affect the fish,,1,,,,,,,,,
R_3EygiPagwGlNy6T,High,Buckets,1,it wont hurt anything,,1,,,,,,,,,
R_1JDAYfWhf08HHFA,High,Buckets,0,"It would be a fairness issue for the other kids. She may tell others what she did and they would have the same idea. If the lake couldn't replenish its water before other kids took it, the same issue with not enough water being present for the fish would occur.",1,,,,,,,,,,
R_3IcnLbYghiLrnP6,High,Buckets,0,It would be detrimental to other living things,,,,,,,,,,,
80,Low,Rocks,0,It would be naughty,,,,,,,,,,,1
R_3GksJeh5k3qqQzd,High,Buckets,1,It would be ok because it's only Mary taking water from the lake. ,,,,,,,,,,,
R_3M5Tw6sunjPu2Jc,High,Rocks,0,It would be the start of all the rocks being taken from the path.,,,,,1,,,,,,
206,High,Buckets,0,It would be unfair & the other kids could find out,1,,,,,,,,,,
R_0iD6kXezkA0B3Db,Low,Rocks,0,It would deplete the rocks if people take them.,,,,,,,,,,,
R_20V8qrPPx2MQDlo,High,Buckets,1,It would just be one person taking water from the lake.,,,,1,,,,,,,
236,Low,Buckets,0,it would make the lake a little shallower,,,,,,,,,,,
R_27J62yJGk50gC3S,Low,Buckets,1,It wouldn't hurt the fish since she's the only one doing it. There will be plenty of water left.,,1,,1,,,,,,,
R_1CjyO72dWliDbeJ,High,Buckets,1,It wouldn't make a difference.,,1,,,,,,,,,
R_3MbZHxUQlRmP8vZ,Low,Buckets,1,it wouldnt affect the water level in the lake. and she would see what the water would do to her castle and where water sprays,,1,,,,,,,,,
R_29ppTBvO2eSKTWH,Low,Rocks,1,It's a rock and most people do not want to take rocks off the path. A rock is not something I would consider as theft. ,,,,,,1,,,,,
R_1guMigkqEpXF5ac,High,Buckets,1,It's a single bucket of water and will cause no harm.,,1,,1,,,,,,,
R_RV7N3UmlVf58f97,Low,Buckets,1,It's an entire lake vs a single bucket.,,,,1,,,,,,,
R_2BqCMFYWVzbExYl,Low,Buckets,1,"It's her sand castle, so it is her decision. It also won't hurt the fish for her to take the water.",,1,,,,,,,,,
R_2TGIpXWHjz9Gy5L,High,Rocks,1,It's just a rock,,,,,,,,,,,
R_3IcnLbYghiLrnP6,Low,Rocks,1,"It's just a rock and there are plenty more of them. If there isn't a sign saying not to take them, and they are not valuable, except to the boy , then I don't see it as a problem.",,1,,,,,,,,,
261,Low,Rocks,1,It's just a rock.,,,,,,,,,,,
R_2c0Jw2XvuEiTVVS,Low,Rocks,1,It's just a rock. ,,,,,,,,,,,
R_RV7N3UmlVf58f97,High,Rocks,1,It's just a single rock and I don't see the harm in it.,,1,,1,,,,,,,
74,Low,Rocks,1,"It's just gonna be one, he's not gonna take all of them",,,,1,,,,,,,
140,High,Buckets,1,It's just her and nobody else is taking water.,,,,1,,,,,,,
140,Low,Rocks,1,It's just him and nobody else is taking rocks.,,,,1,,,,,,,
127,High,Rocks,0,It's just not okay.,,,,,,,,,,,
R_3DiJhdSzRrxQU6z,Low,Buckets,1,"It's just one bucket of water, I think the fish will be fine.",,1,,1,,,,,,,
R_RODaa0oPszTxMxr,High,Buckets,1,"It's just one bucket of water. As long as she is discreet and doeasn't get caught, it's no big deal.",,1,,1,,,1,,,,
282,Low,Buckets,1,It's just one person and no one will see and all the water won't go away.,,1,,1,,,1,,,,
R_pKSyKaTNfbOy1e9,Low,Rocks,1,It's just one rock.,,,,1,,,,,,,
R_RODaa0oPszTxMxr,Low,Rocks,1,It's just one rock. It won't hurt anything. ,,1,,1,,,,,,,
260,High,Rocks,0,It's kind of sneaky and disrespectful to the path.,,,,,,,2,,,,1
172,High,Buckets,0,"It's not allowed, if someone sees Mary then they can do it too",,,,,1,,,,,,
R_1etJWM7ZNWgAG4T,High,Rocks,0,It's not fair that none of the other kids get to take rocks from the path.,1,,,,,,,,,,
128,High,Buckets,0,It's not fair that she's the only one doing it.,1,,,,,,,,,,
105,High,Rocks,0,It's not fair to the other kids,1,,,,,,,,,,
R_31B4w4UO5Se5tHg,High,Rocks,0,It's not fair to the other kids if he takes a rock and they don't. ,1,,,,,,,,,,
R_26nGekvzWGV4h70,Low,Buckets,1,It's not going to hurt anything.,,1,,,,,,,,,
R_26nGekvzWGV4h70,High,Rocks,1,It's not going to hurt anything.,,1,,,,,,,,,
117,Low,Buckets,0,It's not good for the fish.,,,1,,,,,,,,
234,High,Buckets,1,it's not taking up all the water,,1,,,,,,,,,