duration,date,subjectcode,a,b,c,d,e,f,g,h,i,j,k,l,m,n,comments
77,4/29/20 11:06,R_2S6qbxOGMb7CoFy,,,,,,,,5,5,7,7,1,1,1,very nice
108,4/29/20 11:07,R_301MvacyDCJniGT,,,,,,,,1,0,20,0,1,0,3,No
183,4/29/20 11:08,R_1itbDx1MKzrao6J,0,19,20,0,0,0,3,,,,,,,,no
112,4/29/20 11:08,R_3qaNLn76qw20h00,,,,,,,,1,19,20,14,0,0,3,No
184,4/29/20 11:08,R_yDDXPwKPkV4gvo5,4,5,3,1,1,1,1,,,,,,,,thank you
243,4/29/20 11:08,R_Aywdf8GbgUvQlON,1000,1000,1000,1000,1,1,3,,,,,,,,"examples of questions to avoid in your next survey. ... Have you ever sent a survey and realized, after the fact, that your questions were confusing."
247,4/29/20 11:08,R_aaConVVpMysNZgB,,,,,,,,0,19,20,0,0,0,3,no
167,4/29/20 11:09,R_yO68gYipjkq0ovL,0,19,20,0,1,0,3,,,,,,,,Everything was clear
93,4/29/20 11:09,R_ylN3p2B52oj7eCd,,,,,,,,0,19,20,0,0,0,3,No
229,4/29/20 11:09,R_1QhnbBAqDgm9yUu,,,,,,,,19,19,20,19,1,0,2,all clear 
279,4/29/20 11:09,R_1LLskePBpns2RiA,20,5,29,20,1,1,3,,,,,,,,confusing
120,4/29/20 11:09,R_bqjqmgwm4zWv0Od,,,,,,,,0,19,20,0,1,0,3,No
107,4/29/20 11:10,R_12cq37nzRxkoxjP,23,21,23,34,1,1,1,,,,,,,,good
78,4/29/20 11:10,R_s5yHq6jkjqXXCmJ,0,19,20,0,1,0,3,,,,,,,,"No, everything was clear"
244,4/29/20 11:10,R_8nYVYNhBgmK0ExP,19,3,20,5,1,0,3,,,,,,,,no
237,4/29/20 11:10,R_31sLs4JBiHdyM06,0,19,20,0,0,0,3,,,,,,,,No.
341,4/29/20 11:10,R_Rz3tl6xY4NtZQfT,5,5,20,3,0,0,3,,,,,,,,no
200,4/29/20 11:11,R_sbCh5z1HErv1BjX,,,,,,,,1,19,20,0,0,0,3,I counted John as the 1 person who would know he's using the hooks.
312,4/29/20 11:11,R_32Viqj6V3BBTrDO,0,0,20,0,1,0,3,,,,,,,,No
378,4/29/20 11:11,R_1K20hIh6q95VPXg,0,19,20,0,0,0,3,,,,,,,,No
174,4/29/20 11:11,R_2VKCXFwVGKtI4Ox,0,0,20,0,1,0,3,,,,,,,,No
205,4/29/20 11:11,R_1qghwmghdt7I1DS,,,,,,,,0,19,20,1,1,0,3,Nothing
219,4/29/20 11:12,R_0JMCVRCsLDApWBX,,,,,,,,0,19,20,0,1,0,3,"No, it was very clear and understandable."
252,4/29/20 11:12,R_1OCVZfaoElCGlZ0,0,19,20,0,1,0,3,,,,,,,,No
193,4/29/20 11:12,R_qPdItbuSeQpwfDP,,,,,,,,20,19,20,20,1,1,3,no
122,4/29/20 11:12,R_1LBEYVFCcaGJ2qc,,,,,,,,3,4,5,4,1,1,1,its good
162,4/29/20 11:13,R_2ZKtIq4dL8wbfkP,,,,,,,,0,19,20,0,1,0,3,no
144,4/29/20 11:13,R_3nNQaWjVio8Hefk,,,,,,,,0,19,20,0,1,0,3,"no, thanks!"
167,4/29/20 11:13,R_2QrYOYmcGk2Xgz3,0,19,20,0,0,0,3,,,,,,,,
404,4/29/20 11:13,R_3IWTGLbukwFiXx3,,,,,,,,0,19,20,0,1,0,3,no
486,4/29/20 11:14,R_1kLVgMba4FfvEVa,,,,,,,,19,19,19,19,1,1,1,nothing
563,4/29/20 11:15,R_214HMECtTtqTCUI,,,,,,,,19,19,20,20,1,1,1,no  more confusion
366,4/29/20 11:15,R_1ohhfG8mAy2hone,19,20,19,3,1,1,2,,,,,,,,yes because read is slow and catch my mind is later
445,4/29/20 11:15,R_1PXCjI1mgjyKeHb,5,19,20,3,1,0,2,,,,,,,,very good touch
125,4/29/20 11:16,R_3Db0ronWkg2CxwZ,0,19,20,0,0,0,3,,,,,,,,no
150,4/29/20 11:16,R_sYBEElYkqfWynst,,,,,,,,0,19,20,0,1,0,3,no
247,4/29/20 11:17,R_12aLgIrvRT8F2TM,,,,,,,,0,19,20,0,1,0,3,no
208,4/29/20 11:17,R_1JLVvxZ8JKISXs4,,,,,,,,1,19,20,0,1,0,3,"No, other than does John count as one of the people who would know about him using the hooks (I though yes, and so said that one person would know about it)."
597,4/29/20 11:17,R_1CJEfEdaWuNQV6H,,,,,,,,19,19,20,19,0,0,3,no it is clear
656,4/29/20 11:17,R_zVvtJ8myBVMuWul,4,2,5,2,1,1,1,,,,,,,,no
112,4/29/20 11:17,R_Ray7JrhuZXoHJ2V,,,,,,,,19,19,20,0,1,0,2,
221,4/29/20 11:18,R_2E03HsoybvqRNWQ,,,,,,,,0,19,20,0,1,0,3,No
247,4/29/20 11:18,R_b1tvryYfOY3nGjT,,,,,,,,0,19,20,0,1,0,3,no
311,4/29/20 11:19,R_2BgGndhWmmVs9lW,0,19,20,0,0,0,3,,,,,,,,No
419,4/29/20 11:19,R_qz29Ps7opOcNsMF,,,,,,,,1,19,19,0,1,0,3,no
202,4/29/20 11:19,R_cOqIu9vUTBxYDmN,0,20,20,0,1,0,3,,,,,,,,NO
197,4/29/20 11:19,R_3ltqwALRTEX04C3,,,,,,,,0,19,20,0,1,0,3,No
244,4/29/20 11:20,R_3kmEyE7c7raG8ZJ,,,,,,,,0,20,20,19,0,0,2,BIT CONFUSING
247,4/29/20 11:20,R_3ktxeCPGAUrbrp2,0,19,20,0,0,0,3,,,,,,,,"My first instinct was to not believe the people who said they would not use the new hooks! I wish the story had specifically said that the people were being truthful, as I did not like that I had to assume that "
129,4/29/20 11:20,R_3I4WRoAbzM99Q5J,,,,,,,,0,19,20,0,1,0,3,no
331,4/29/20 11:20,R_1rvn5tv0troztuL,1,1,20,3,1,1,1,,,,,,,,good
321,4/29/20 11:20,R_2V4QmyK8yAp4w7O,0,19,20,0,0,0,3,,,,,,,,There aren't any survey questions.
318,4/29/20 11:21,R_30odj6vz343pKpw,0,3,20,3,1,0,2,,,,,,,,no
97,4/29/20 11:21,R_1LvrRzTzY10tyRL,,,,,,,,5,5,2,34,1,1,1,SYHT
570,4/29/20 11:21,R_2AYW09UabdGWUF5,,,,,,,,19,20,20,19,1,1,1,no
580,4/29/20 11:21,R_332qEqV7dFB5pgY,0,19,20,0,1,0,3,,,,,,,,"The question asking if John used the new hook if anyone would know, I said 0, but if that was meant to include John or the seller who JOhn bought the hook from then that was unclear"
271,4/29/20 11:22,R_WrmiEVX13z0NEqJ,,,,,,,,0,19,20,0,1,0,3,No it was simple and clear
263,4/29/20 11:23,R_22rHjsADDAs13EZ,0,19,20,0,1,0,3,,,,,,,,no
226,4/29/20 11:23,R_1gkDDMn1eIz1ZUj,0,19,20,0,1,0,3,,,,,,,,No
64,4/29/20 11:25,R_1j9rzvrN1M88Ndb,,,,,,,,2,3,1,3,1,1,1,GOOD
173,4/29/20 11:25,R_7QkLKepv0Tpfp5v,,,,,,,,0,19,20,0,0,0,3,No
137,4/29/20 11:26,R_Z7QsAxQJL6SfijD,19,0,20,0,0,0,3,,,,,,,,no
156,4/29/20 11:26,R_vjouP35jJdAQ6LT,,,,,,,,0,19,20,0,1,0,3,no
706,4/29/20 11:26,R_6gpvBn5oRSfy0W5,20,19,2,3,1,1,1,,,,,,,,no
48,4/29/20 11:27,R_3dFW33YkTFKYwHx,,,,,,,,5,2,5,6,1,1,2,yes
172,4/29/20 11:28,R_3g2gVCSCl3JdGHv,,,,,,,,0,0,20,0,1,0,3,no
395,4/29/20 11:29,R_3rM7AFj4kNs2xCg,0,19,20,0,0,0,3,,,,,,,,Yes the question about how many people would like to catch more fish.  They all wanted to but they weren't going to do it.
765,4/29/20 11:30,R_3O6MTcnDzf02EoZ,3,3,19,0,0,1,2,,,,,,,,something confusing but manage
474,4/29/20 11:30,R_3noufRcdp0X4rLp,,,,,,,,89,67,78,6,1,1,2,rettr
219,4/29/20 11:31,R_1P1rIt6yo6UqsZ0,0,19,20,0,0,0,3,,,,,,,,Nothing.  I understood everything.
333,4/29/20 11:32,R_6K00B8UUOQqpQbv,,,,,,,,0,19,20,0,1,0,3,Everything was clear
1338,4/29/20 11:33,R_BMqUfCOItZrutLX,0,19,20,0,0,0,1,,,,,,,,No
168,4/29/20 11:35,R_2zRXhS7vSQmbFhv,0,19,20,0,1,0,3,,,,,,,,No
128,4/29/20 11:37,R_2wyOHr4qpqnYzpl,,,,,,,,0,0,20,0,1,0,3,No.
309,4/29/20 11:38,R_1pSzR4CPUfZkgeK,,,,,,,,0,20,20,0,1,0,3,
1543,4/29/20 11:40,R_2YD2HBBTncT8W6k,3,1,19,20,1,1,1,,,,,,,,no
153,4/29/20 11:40,R_TtOp9CMXRTDep4R,0,19,20,0,0,0,2,,,,,,,,no
126,4/29/20 11:42,R_12QFl6EwA93f3CB,,,,,,,,5,5,5,5,1,1,2,"nd it's so wonderful, you know,' all the world said to its neighbour : 1 it was written, ... for he couldn't bear to take credit for extraordinary genius and self-education, ... John Collingliam of Holt in Norfolk, whom nobody believed"
575,4/29/20 11:42,R_1ffvlt57imxkzoH,20,5,5,19,1,1,2,,,,,,,,no
725,4/29/20 11:42,R_scez8DCjOv04vAZ,19,19,19,19,1,1,1,,,,,,,,nothing.
98,4/29/20 11:45,R_2Eph1ON0z1aCZc9,,,,,,,,0,19,20,0,1,0,3,no
119,4/29/20 11:46,R_9LIZWITkFEXRBaF,,,,,,,,0,19,20,0,1,0,3,No
302,4/29/20 11:47,R_2UbIR0FudOgRvv2,0,19,20,0,0,0,3,,,,,,,,No
405,4/29/20 11:49,R_2rviK01eoRFCN2e,,,,,,,,0,19,20,0,1,0,3,no
224,4/29/20 11:50,R_D7e8SmlcPRS4mbf,0,19,20,0,1,0,3,,,,,,,,no
378,4/29/20 11:51,R_3iDPHOv9O7rQWZ6,19,19,20,0,0,0,3,,,,,,,,no
180,4/29/20 11:52,R_xAgyiTpc6xZ6CIN,19,19,20,0,1,0,3,,,,,,,,No
451,4/29/20 11:53,R_2QYAiKaBlxrK4zn,,,,,,,,1,1,1,1,1,1,1,no
253,4/29/20 11:53,R_3QJlK1nvPDhZgCi,0,19,20,0,1,0,3,,,,,,,,everything was clear
180,4/29/20 11:54,R_uf6zyBEQFrp1KKJ,0,20,20,0,0,0,3,,,,,,,,No
306,4/29/20 11:55,R_1dzCKRB6gEVfOMi,,,,,,,,19,19,20,0,0,0,3,no
196,4/29/20 11:58,R_3rJ6kc6rLqzv0cU,0,19,20,0,0,0,3,,,,,,,,no
259,4/29/20 11:59,R_WB3TJrINSa3fgYN,0,19,20,0,0,0,3,,,,,,,,none
480,4/29/20 11:59,R_3hGWWnUqkyVdcNf,,,,,,,,0,19,20,0,0,0,3,no 
139,4/29/20 12:00,R_5gt2qfB4Vtf4rLP,0,19,20,0,0,0,3,,,,,,,,
585,4/29/20 12:00,R_2EaaSSV99TLJoJS,,,,,,,,19,0,20,0,1,0,2,no
151,4/29/20 12:00,R_YQTmLNSYVP0R8pb,,,,,,,,0,19,20,0,1,0,3,Just.as.to.why people.didnt want to use them
168,4/29/20 12:01,R_1iqb6tQohKyWEC7,0,19,20,0,0,0,3,,,,,,,,No. 
140,4/29/20 12:03,R_88IaXWezNoWRnCF,0,19,20,0,0,0,3,,,,,,,,no
413,4/29/20 12:04,R_pMCKNSYDmINA4ZH,,,,,,,,0,19,20,0,1,0,2,"Nope, but long story"
127,4/29/20 12:04,R_3iViFtACKTQfLOg,,,,,,,,0,0,20,0,0,0,3,no
207,4/29/20 12:06,R_3DkaOALJmRHwxuc,0,0,20,0,0,0,3,,,,,,,,no
273,4/29/20 12:07,R_33fjW8OORw9iF3K,,,,,,,,0,19,20,0,0,0,2,"No, nothing"
138,4/29/20 12:08,R_2dGtnD8IzvpB4J1,,,,,,,,0,19,20,0,1,0,3,"No, nothing was unclear"
226,4/29/20 12:09,R_2PdohSn3j4eRgqT,5,3,19,20,1,1,1,,,,,,,,NO IT IS  CLEAR 
278,4/29/20 12:09,R_2wyomNFgSok9KmL,0,19,20,0,0,0,3,,,,,,,,The last question: Was it just assuming that only John was going to fish with the new hook?
522,4/29/20 12:09,R_3RqrsH34yaowO6y,,,,,,,,19,19,20,0,1,0,3,no
96,4/29/20 12:10,R_24BFpiPLf0u5CVI,,,,,,,,0,20,20,0,1,0,3,No
175,4/29/20 12:10,R_1EZD8RsM5iHMbSX,0,19,20,0,1,0,3,,,,,,,,no
155,4/29/20 12:10,R_2P7koXDzEadnii9,,,,,,,,0,19,20,0,1,0,2,n/a
2293,4/29/20 12:11,R_3lQwv55oagHi5L0,,,,,,,,0,19,20,19,1,1,3,NOTHING
308,4/29/20 12:12,R_2uWzZxHuYtKIYQ1,19,20,20,1,1,0,1,,,,,,,,nothing
105,4/29/20 12:13,R_3nqhjuRwJHK2w6M,,,,,,,,0,19,20,0,1,0,3,no
105,4/29/20 12:14,R_3M4EFV7MgEVkkcf,2,5,2,3,1,1,1,,,,,,,,NO
776,4/29/20 12:14,R_1NDKFYnEHmqedjo,,,,,,,,20,19,20,0,0,0,3,No
404,4/29/20 12:17,R_2YnB5h5SptXzd0C,0,19,20,0,1,0,3,,,,,,,,Not at all
278,4/29/20 12:19,R_xc6kIATkZOeqmcx,,,,,,,,0,19,20,0,1,0,3,no
110,4/29/20 12:21,R_vksmyfD7kiN6Zyx,0,19,20,0,1,0,3,,,,,,,,N/A
88,4/29/20 12:21,R_1DpfNOeQvhwcInN,,,,,,,,0,19,20,0,1,0,3,No
242,4/29/20 12:23,R_31WRrUKfxTbGKu3,19,20,20,5,1,1,1,,,,,,,,no
859,4/29/20 12:23,R_1N9AVaQBszMLeob,,,,,,,,1,20,20,19,0,1,1,no
152,4/29/20 12:23,R_3s7xx1Wl542s041,0,19,20,0,0,0,3,,,,,,,,No
148,4/29/20 12:25,R_1pDVbW1QLo8ZeB4,,,,,,,,0,19,20,0,1,0,3,
154,4/29/20 12:26,R_01xJ5FgrFm39SvL,,,,,,,,0,19,20,0,1,0,3,no
408,4/29/20 12:27,R_Y97YddqncSDiAy5,,,,,,,,12,20,20,10,1,1,1,nice survey
236,4/29/20 12:27,R_2yjdAFBqN3XN6Qs,0,19,20,0,1,0,3,,,,,,,,no
592,4/29/20 12:28,R_3EmZ2yjLwGQpnop,,,,,,,,19,0,20,0,1,0,3,No
3325,4/29/20 12:28,R_2wT4zkTn4MKQcVm,5,20,20,3,1,1,1,,,,,,,,no
2002,4/29/20 12:29,R_CabuXMQpOo77ekF,,,,,,,,20,19,20,19,1,0,3,"No, the survey was straightforward."
401,4/29/20 12:32,R_2E9KNe01HivkRo9,0,19,19,0,0,0,3,,,,,,,,
235,4/29/20 12:32,R_2QDPSp95wc0Bm8f,0,19,20,0,0,0,3,,,,,,,,No
41,4/29/20 12:34,R_UFsP1YU81vitE53,,,,,,,,30,1,20,5,1,1,3,nothing.
218,4/29/20 12:34,R_POi7d4ShosV3SWl,,,,,,,,0,19,20,0,0,0,3,Nothing
259,4/29/20 12:35,R_2B4ilRiQSDsVNLL,3,6,8,5,1,1,1,,,,,,,,I'M CLEAR.
314,4/29/20 12:35,R_1Kya5MF6a8wEOfh,,,,,,,,1,19,20,0,0,0,3,
178,4/29/20 12:37,R_1jGGs4t1Qlv5GsU,0,19,20,0,1,0,3,,,,,,,,nothing
169,4/29/20 12:37,R_24Piwfrp7dwWJ31,,,,,,,,0,19,20,0,1,0,3,no
149,4/29/20 12:37,R_12o3L2nBcAdbBi1,,,,,,,,19,0,20,0,1,0,3,"None, but I accidentally answered a question incorrectly, sorry."
140,4/29/20 12:38,R_2WTgJ07Hx0aPiAB,0,19,20,0,1,0,2,,,,,,,,No.
220,4/29/20 12:43,R_3CBIYxCmuH0MpkW,0,19,20,19,1,0,3,,,,,,,,Nope
312,4/29/20 12:44,R_2rI0RsDKePXjCMh,,,,,,,,1,19,20,0,1,0,3,when asked how many people would know if he used the new hook I answered one because John would know
138,4/29/20 12:44,R_w1o8lc364s45TZT,,,,,,,,19,19,20,0,0,0,3,No
393,4/29/20 12:45,R_C3K5hcCuo6iFxZf,0,19,20,0,1,0,3,,,,,,,,no
187,4/29/20 12:45,R_3DkE5bjCtILCRQW,19,19,20,0,0,0,3,,,,,,,,No
136,4/29/20 12:48,R_yHA3jZjrYR5eEJH,,,,,,,,0,19,20,0,1,0,3,
232,4/29/20 12:49,R_3HUlWiTz0T3tB2m,0,0,20,0,1,0,3,,,,,,,,no
199,4/29/20 12:50,R_2TEQWslY8Jev4Yt,,,,,,,,0,19,20,0,1,0,3,nope it was fine
225,4/29/20 12:52,R_1qXub9rhJ0XF2jX,0,19,20,0,0,0,3,,,,,,,,No
160,4/29/20 12:53,R_1PcovLAAkRO2avS,,,,,,,,0,19,20,0,1,0,3,No
94,4/29/20 12:57,R_2ea7VQkUJPyHARW,19,5,20,3,1,0,2,,,,,,,,none
229,4/29/20 12:58,R_2XburMp9n0cGq5i,0,19,20,0,0,0,3,,,,,,,,No.
187,4/29/20 12:59,R_OfKILTexvfPo9Hj,0,19,20,0,1,0,3,,,,,,,,No.
154,4/29/20 13:04,R_3e4BE6CgjskOYZ5,,,,,,,,0,19,19,0,0,0,2,no
156,4/29/20 13:04,R_spvmD0fM63e53iN,0,19,20,0,0,0,3,,,,,,,,This is a very well laid out tragedy of the commons scenario
135,4/29/20 13:05,R_PONVdV7YGVmLxHX,19,19,20,0,0,0,2,,,,,,,,no
239,4/29/20 13:06,R_2qrZAZc8hxUPVTq,,,,,,,,19,0,20,0,1,0,3,no
702,4/29/20 13:07,R_2uPMbDlLRLTBLC6,,,,,,,,0,19,20,0,0,1,2,
1299,4/29/20 13:08,R_UzHpMBovShYljOh,19,19,20,0,0,1,2,,,,,,,,no
133,4/29/20 13:09,R_1eP2GSc88DLHHRu,,,,,,,,19,19,20,0,0,0,3,
377,4/29/20 13:09,R_2YhwMwtmuxASee6,,,,,,,,0,19,20,2,1,0,1,none
282,4/29/20 13:10,R_1dhiPSAs5IiS2gn,19,19,20,0,0,0,3,,,,,,,,no
130,4/29/20 13:11,R_24edKybqisWEYcV,,,,,,,,0,19,20,0,1,0,3,no
613,4/29/20 13:12,R_VUdQKjgUhKSX4qd,0,19,20,0,1,0,3,,,,,,,,No
149,4/29/20 13:12,R_sIruMUg5PCCiT9n,0,19,20,0,0,0,3,,,,,,,,no
257,4/29/20 13:17,R_DOifJXQjy3X7R29,,,,,,,,0,19,20,0,1,0,3,No.
264,4/29/20 13:17,R_1HntA6GiCg1eVeG,,,,,,,,0,19,20,0,1,0,3,No
317,4/29/20 13:18,R_pcmMxMSLvOhJr5D,0,19,20,0,1,0,3,,,,,,,,no
1328,4/29/20 13:21,R_30iQuCeqYCnzK9R,,,,,,,,0,19,20,0,1,0,1,No
374,4/29/20 13:22,R_tFNi62Cgjq959ux,,,,,,,,0,19,20,0,0,0,3,No
133,4/29/20 13:22,R_2rGyPEZOKoDJuUY,,,,,,,,0,19,20,0,1,0,2,No
178,4/29/20 13:25,R_1JS0iQSbWBsUt28,0,19,20,4,0,0,3,,,,,,,,The first question about how many hooks were people actually using wasn't given in the essay
313,4/29/20 13:25,R_DN2GxN6gJBt76Wl,0,19,20,0,1,0,3,,,,,,,,We don't actually know if others are secretly going to use the new hooks
130,4/29/20 13:30,R_OIHD3gwFU20oEOR,,,,,,,,0,19,20,0,1,0,3,no
