duration,date,subjectcode,a,b,c,d,e,f,g,h,i,j,k,l,m,n,comments
780,4/29/20 13:30,R_2dtNhOq4xMcEwPx,,,,,,,,19,19,20,19,1,0,3,no
189,4/29/20 13:37,R_3Rw6H2lZgM9kQWk,0,19,20,0,0,0,3,,,,,,,,No
1580,4/29/20 13:37,R_Uz3YbfXH20necpP,,,,,,,,0,19,20,0,1,0,3,NO
192,4/29/20 13:38,R_2wc4CIoxt4naJ9u,0,19,20,0,1,0,3,,,,,,,,NO
333,4/29/20 13:40,R_AiYwuIldIfB4Yb7,,,,,,,,0,19,20,0,1,0,3,The story and the questions were very easy to understand.
202,4/29/20 13:44,R_3g1ypw4uyAnUdhA,,,,,,,,0,0,20,0,1,0,3,No everything was fine. Have a good day!
105,4/29/20 13:45,R_3oMZOhA6ZtjA5Uc,0,19,20,0,1,0,3,,,,,,,,No
268,4/29/20 13:45,R_3hhUx16vEmEgMZa,0,19,20,0,1,0,3,,,,,,,,No
184,4/29/20 13:49,R_YRpNqia3k4XpzkB,0,19,20,0,0,0,3,,,,,,,,NO
162,4/29/20 13:50,R_10PEPh5osjeOzbG,,,,,,,,0,19,20,0,1,0,3,no
168,4/29/20 13:50,R_Wp1FngBQ5lKu3sd,,,,,,,,0,19,20,0,1,0,3,no
181,4/29/20 13:51,R_um1TXW072z5Fezn,,,,,,,,0,0,20,0,1,0,3,no
211,4/29/20 13:52,R_bwMkfQeRLV079mh,19,0,20,0,0,0,3,,,,,,,,No
315,4/29/20 13:53,R_11Z97DUvRVMNPVq,0,19,20,0,0,0,3,,,,,,,,none
236,4/29/20 13:53,R_3MoFSU1UlW48jHC,,,,,,,,0,19,20,0,0,0,3,Not from what I can tell
149,4/29/20 13:55,R_1OruDNWmS4xaTHg,0,19,20,0,0,0,2,,,,,,,,No
110,4/29/20 13:57,R_yJS7MLSJnGVduIF,,,,,,,,0,19,20,0,1,0,3,no
163,4/29/20 13:57,R_8fh09cTBrBADaYp,,,,,,,,0,19,20,0,1,0,3,No.
250,4/29/20 13:57,R_2scO5ElpHAg08Aj,0,19,20,0,1,0,3,,,,,,,,No
115,4/29/20 14:02,R_3JsK9oggzBGA186,5,19,20,2,1,0,2,,,,,,,,no
178,4/29/20 14:02,R_3sBy20yIwxBOzhv,0,0,20,0,0,0,3,,,,,,,,no
166,4/29/20 14:02,R_2cj6hzY0u2TbfHg,,,,,,,,0,19,20,0,1,0,3,Nope
229,4/29/20 14:05,R_1o0as9X3SmKnG9q,,,,,,,,0,19,20,0,1,0,3,nope!
244,4/29/20 14:05,R_2rHC8CvKUNdf9xf,19,19,20,0,0,0,2,,,,,,,,No
134,4/29/20 14:10,R_Y33Nfq2lqhR7yc9,,,,,,,,0,19,20,0,0,0,3,
293,4/29/20 14:10,R_tKfOo7NTTHz2wkp,0,19,20,0,1,0,3,,,,,,,,No
124,4/29/20 14:12,R_26gQfwVwvdTicry,,,,,,,,0,0,20,0,0,0,3,Everything was easy to understand.
414,4/29/20 14:14,R_3XbmsO55VeEOa5z,0,0,20,0,0,0,2,,,,,,,,"Yes. The options for last question were confusing. If John uses new fish hooks, the fish population would decrease. It won't make the fish population less healthy as stated in the option. "
399,4/29/20 14:14,R_sXLmh4ppU5TQdY5,,,,,,,,19,0,20,0,1,0,3,no
409,4/29/20 14:15,R_1zwEYsqNqgNsubv,0,19,20,0,0,0,3,,,,,,,,No
312,4/29/20 14:17,R_115woGWvnoBmo9j,19,0,20,1,1,0,3,,,,,,,,no
452,4/29/20 14:17,R_1Hhof9r7VJ8F415,,,,,,,,0,19,20,0,1,0,3,"No, but it is weird that rest of people think using the new hook is ""wrong"" even though it is allowed to use it."
170,4/29/20 14:20,R_1LGP0x86Mtitijo,,,,,,,,0,0,20,0,1,0,3,No
172,4/29/20 14:22,R_2ruz0ewbeuScUI4,0,19,20,0,0,0,3,,,,,,,,Not that I can think of.
156,4/29/20 14:25,R_31TvCpnGaQGbOzN,0,19,20,0,0,0,2,,,,,,,,no
115,4/29/20 14:34,R_27ev9IbSbPFCJal,,,,,,,,0,19,20,0,1,0,3,all of it
225,4/29/20 14:37,R_3IWZ649GuvnKTM2,,,,,,,,19,19,20,0,1,0,3,Why did his neighbors feel using the new hook was wrong? This was unclear.
332,4/29/20 14:37,R_3K6IEDsyxZJAjQZ,0,19,20,0,0,0,3,,,,,,,,No.
214,4/29/20 14:38,R_1Q0zdWDUoHUkIKB,19,19,20,0,0,0,2,,,,,,,,not really
178,4/29/20 14:38,R_2afeSgrFds54fcD,,,,,,,,1,19,20,0,1,0,3,no
322,4/29/20 14:39,R_2q2yU7csRfH7y7J,0,19,20,0,1,0,3,,,,,,,,not really
255,4/29/20 14:44,R_2y949XaT6O5EA8x,0,19,20,0,1,0,3,,,,,,,,NO
192,4/29/20 14:45,R_pyHDdie5g6z2UE1,,,,,,,,0,19,20,0,1,0,3,N/A
319,4/29/20 14:50,R_10CVXRIiVew6hER,0,19,20,0,1,0,3,,,,,,,,no
171,4/29/20 14:53,R_3g2bPRyCIWImKvk,0,19,20,0,0,0,3,,,,,,,,"No, it was very clear. "
176,4/29/20 14:54,R_UgWmFVfzSyIfmtb,,,,,,,,0,19,20,0,1,0,3,No
179,4/29/20 14:56,R_1q7JpWeIytGg62v,0,19,20,0,0,0,3,,,,,,,,No
118,4/29/20 14:58,R_2YGiNlyMz0V66na,0,19,20,0,0,0,3,,,,,,,,No
305,4/29/20 15:00,R_22DoUVGVt6pSBu3,,,,,,,,0,19,20,0,1,0,3,no
199,4/29/20 15:01,R_22VTcY6qqUqaDF6,,,,,,,,0,19,20,0,1,0,2,whether the answers should be typed as digits or words
174,4/29/20 15:05,R_2Bhx2OK7ydqNmU9,0,19,20,0,0,0,3,,,,,,,,No
116,4/29/20 15:08,R_3O99qgQFI972JXT,,,,,,,,19,19,20,19,1,0,1,no
321,4/29/20 15:13,R_2ahLyA83UjXLw2B,0,19,20,0,0,0,3,,,,,,,,no
181,4/29/20 15:14,R_2xP0AjKYbsroHPP,,,,,,,,0,19,20,0,1,0,3,it is technically impossible to be sure if no one would use the hooks. they might and just lie about it
172,4/29/20 15:18,R_SBjmkb1N3H2agDf,0,19,20,0,0,0,3,,,,,,,,No
304,4/29/20 15:21,R_DejbBvKyockwrOF,,,,,,,,0,19,20,0,1,0,3,Not at all. 
174,4/29/20 15:22,R_WeATT7lKAGENmdX,,,,,,,,0,19,20,0,0,0,3,no
144,4/29/20 15:25,R_WxKSvAJ6qfhO1q1,,,,,,,,1,19,20,0,1,0,3,
153,4/29/20 15:25,R_1rcZTYIzvQvaSNx,0,19,20,0,1,0,3,,,,,,,,No
307,4/29/20 15:30,R_3pr7W3Yq4foSsj3,0,19,20,0,0,0,3,,,,,,,,no
266,4/29/20 15:31,R_2YJRgff7md5Ma4g,,,,,,,,0,0,20,0,0,0,3,no
207,4/29/20 15:34,R_1jImksEspS1Za2B,0,19,20,0,0,0,3,,,,,,,,No
173,4/29/20 15:36,R_UA3P7FiUu2Lqhbz,0,19,20,0,1,0,3,,,,,,,,NO
283,4/29/20 15:38,R_AATIVsHCxWdGrDj,,,,,,,,20,20,19,19,1,1,1,No
190,4/29/20 15:40,R_ehw1OoMCMzqvEHv,,,,,,,,0,20,20,0,0,0,2,no
335,4/29/20 15:48,R_3l0emkP0Hfn2XhD,0,19,20,0,0,0,2,,,,,,,,No
585,4/29/20 15:48,R_2QSQ5uGQZ3kxKlf,0,19,20,0,0,0,1,,,,,,,,No
562,4/29/20 15:50,R_SZPnTSq2U5UafQd,,,,,,,,0,19,20,0,1,0,3,Not at all.
177,4/29/20 15:50,R_Xho91gH398CjbIl,,,,,,,,0,0,20,1,1,0,3,no
157,4/29/20 15:52,R_ykbuuDZWtRF0bcJ,,,,,,,,0,19,19,0,1,0,3,no
101,4/29/20 15:52,R_pKpVMimMrm9Pykp,1,19,20,0,1,0,3,,,,,,,,no
288,4/29/20 15:52,R_3egMURepMauCGVb,0,19,20,0,0,0,3,,,,,,,,no
380,4/29/20 16:09,R_Ckmb45lKscrmgjn,0,19,20,0,1,0,3,,,,,,,,"One question asked how many people, besides John, will use the new hooks. This is unknown, as we don't know how honest the other people are. They can say one thing, and do another. Not sure there is a correct answer for this question."
266,4/29/20 16:10,R_1mVtiDPYbBJCu2f,1,19,20,0,0,0,3,,,,,,,,No
157,4/29/20 16:12,R_1N9zyuLbYhzzU6g,,,,,,,,20,20,19,0,0,0,2,No
242,4/29/20 16:15,R_3HNSB8GqbloNgiV,,,,,,,,0,19,20,0,1,0,3,No. 
215,4/29/20 16:18,R_1q8KJi1WZeH7s2h,0,19,20,0,1,0,3,,,,,,,,No
289,4/29/20 16:20,R_3hA6GzxA56ejWLt,0,19,20,0,0,0,3,,,,,,,,no
152,4/29/20 16:20,R_33a3zyN7Pkqaug9,,,,,,,,0,19,20,0,1,0,3,"no, just repetitive"
221,4/29/20 16:25,R_3OenctVI9XXd0Fg,,,,,,,,0,19,20,0,1,0,3,"Not really, just depends on the question of morals. In the opinion of his neighbors, it might be morally wrong for John to fish with the new hooks."
211,4/29/20 16:36,R_2P1MgvHu0oRzcfJ,19,5,20,8,0,0,2,,,,,,,,
268,4/29/20 16:37,R_2rMmO0AUQSNNnlm,,,,,,,,0,20,20,0,1,0,3,"Yes, it wasn't clear if I should use numbers to answer the first set of questions"
217,4/29/20 16:45,R_2YCVnuoVohrp0z1,0,19,20,0,0,0,3,,,,,,,,No
176,4/29/20 16:47,R_3dXkOdcb6xQhrNb,,,,,,,,0,19,20,0,1,0,3,no
450,4/29/20 16:50,R_NVzxJm48sjvc8JX,0,19,20,0,0,0,3,,,,,,,,no confusion
164,4/29/20 16:58,R_3QK8buPop5xRf0c,,,,,,,,0,19,20,0,1,0,3,no
308,4/29/20 17:04,R_3qg67Gr7CJkg02M,0,19,20,0,0,0,2,,,,,,,,No
234,4/29/20 17:07,R_1GHzACA4C1EWMpM,,,,,,,,0,19,20,0,1,0,3,No
441,4/29/20 17:18,R_12DuP6Cl3pYG0xB,29,19,20,0,0,0,3,,,,,,,, No
127,4/29/20 17:25,R_RCCRqbWpList2aB,1,20,20,0,0,0,2,,,,,,,,nope
161,4/29/20 17:27,R_2OGCxUeWVX8yGYq,,,,,,,,19,19,20,0,1,0,3,No
244,4/29/20 17:36,R_6zFNjXWPlJB26kx,,,,,,,,0,19,20,0,1,0,3,"No, thank you."
401,4/29/20 17:38,R_6D3cqkgYbvzBHsl,0,19,19,5,0,0,2,,,,,,,,no
197,4/29/20 18:45,R_4NsWZofycpIEpI5,0,19,20,0,1,0,3,,,,,,,,no
182,4/29/20 19:32,R_sdFMo7BsZqPcc5X,,,,,,,,0,0,20,0,0,0,3,"no, very clear."
206,4/29/20 20:31,R_3ndyHLKw6TJg7Hk,0,19,20,0,1,0,3,,,,,,,,No
148,4/29/20 20:55,R_ToxpfQNDwcHDL57,,,,,,,,0,19,20,0,1,0,3,No
192,4/29/20 21:03,R_2QfxvVD5znQ7lHh,0,19,20,0,0,0,3,,,,,,,,not really
302,4/29/20 21:05,R_2wgI7kPPcjUsCPh,,,,,,,,0,19,20,0,1,0,3,No
119,4/29/20 22:26,R_2ciUMiH5VrKv5BD,,,,,,,,0,19,20,19,1,0,3,No
238,4/29/20 22:43,R_3ikiVLaF2wWASfR,,,,,,,,0,19,20,0,1,0,3,the story content contained useless information 
192,4/29/20 23:27,R_xlP0m3aoqbZB3DH,0,19,19,0,0,0,2,,,,,,,,"The last question ""make the fish population more healthy"".. more healthy?"
153,4/30/20 0:45,R_RxGz12Df1g5t0SR,0,19,20,0,1,0,3,,,,,,,,nope
168,4/30/20 2:43,R_1mPMIecABBgTWze,,,,,,,,1,1,20,19,1,1,2,no
188,4/30/20 3:12,R_3KSXUsAg4fcxkCB,0,19,20,0,1,0,3,,,,,,,,No
643,4/30/20 3:21,R_3nBNAb2KE4b0kzI,0,19,20,0,0,0,3,,,,,,,,no
160,4/30/20 6:03,R_2Qyc4zxIWnlnxCK,,,,,,,,19,0,20,19,1,0,3,No
161,4/30/20 6:26,R_1i2U0vDfAh267I2,0,19,20,0,1,0,3,,,,,,,,no
157,4/30/20 7:37,R_3qdhWsGkwSOjH70,,,,,,,,0,19,20,0,1,0,3,"No, it was all clear."
125,4/30/20 8:50,R_pKr58xw6bD0JTl7,0,19,20,0,0,0,3,,,,,,,,No
272,4/30/20 9:04,R_2VJDYjZ4FwMA9Cq,,,,,,,,19,20,20,0,0,0,3,no
299,4/30/20 9:07,R_3KwuCjKplMjoz5A,,,,,,,,0,19,20,0,0,0,2,no
480,4/30/20 10:09,R_3suVZABTezW6AuO,1,19,20,0,1,0,3,,,,,,,,No.
293,4/30/20 10:30,R_2tMCiKinO2L1lrR,0,19,20,0,1,0,3,,,,,,,,no
126,4/30/20 10:32,R_V2wBz7gLV2GLP45,,,,,,,,0,19,20,0,1,0,3,no
133,4/30/20 11:04,R_3HRHzzjNjFTj2A3,0,0,20,0,1,0,2,,,,,,,,no
550,4/30/20 11:08,R_0j5kzuYfNM2BLsR,,,,,,,,0,19,20,20,0,0,1,NO
5455,4/30/20 11:15,R_1GWgzKKde2jrKyP,0,19,20,0,1,0,3,,,,,,,,Not that I noticed.
236,4/30/20 11:29,R_UN02eR02QxHlrBD,0,19,20,3,0,0,3,,,,,,,,No!
217,4/30/20 11:58,R_D8cUDvnbFaUoDPX,0,19,20,0,1,0,3,,,,,,,,No
209,4/30/20 12:11,R_2Pp2gJ725dQUqpt,,,,,,,,0,19,20,0,1,0,3,No it was very clear
107,4/30/20 12:28,R_rlJDd6NyXrvJiOB,,,,,,,,9,3,7,4,1,1,1,good survey
353,4/30/20 12:30,R_1dxXdBHbBUP9nmx,19,19,20,0,0,0,3,,,,,,,,no
159,4/30/20 13:15,R_2Y9gzFWnjFNPk1W,0,19,20,0,1,0,3,,,,,,,,no
190,4/30/20 13:30,R_2QSfAppEFniTRIc,,,,,,,,0,19,20,0,0,0,3,no
303,4/30/20 13:59,R_1C2P6SSdQ0yZ8yQ,,,,,,,,0,0,20,0,1,1,3,"Nothing was confusing, I accidently chose the wrong answer on one of them and wanted to let you guys know just in case I get denied of this HIT. "
147,4/30/20 14:17,R_1j8uF4L8XhTccEr,0,19,20,0,0,0,3,,,,,,,,no
381,4/30/20 14:22,R_2P7j3lvQbR1BKAi,,,,,,,,19,19,19,0,0,0,2,No
239,4/30/20 14:23,R_27Jw11MCq7XjjCE,0,19,20,0,0,0,3,,,,,,,,everything was clear
339,4/30/20 14:46,R_2D8h75Nm1n7EH5f,0,19,20,0,0,0,3,,,,,,,,no
416,4/30/20 14:57,R_cN1fGgcksAGtTGN,,,,,,,,19,19,20,0,1,0,3,No
299,4/30/20 14:59,R_zcefLSmMHvRm0Nj,,,,,,,,0,19,20,0,1,0,3,no
158,4/30/20 15:00,R_1GP4jtRtsPAZmOO,0,19,20,0,0,0,3,,,,,,,,no
130,4/30/20 15:07,R_3e53udaKNaaVgAJ,,,,,,,,0,19,20,0,1,0,3,no
260,4/30/20 16:03,R_3flPbSn6ypdbT8U,,,,,,,,1,19,20,0,1,0,3,No
389,4/30/20 17:42,R_3lFEI4mm3OhyXto,19,19,20,0,0,0,3,,,,,,,,The attention check questions were confusing. 
628,4/30/20 19:17,R_VP7wLPBaHAYgcUN,0,19,20,0,1,0,3,,,,,,,,no. Make sense
280,4/30/20 19:38,R_1hRXx0vD8itEh62,,,,,,,,0,19,20,0,1,0,3,no
243,4/30/20 19:43,R_3HIhk3mJqCpR5dE,0,19,20,0,0,0,3,,,,,,,,No
302,4/30/20 21:45,R_2UarwjBOXHQ6LWg,,,,,,,,0,19,20,0,1,0,3,No
177,4/30/20 22:13,R_3Jn36WEOExg1Z4N,19,19,20,0,0,0,2,,,,,,,,no
135,4/30/20 22:24,R_NWw0cwozwDAbYgp,,,,,,,,0,0,20,0,1,0,3,pretty straight forward
348,4/30/20 22:58,R_1d6ap8eeNH6NAJh,0,19,20,0,1,0,3,,,,,,,,"no, the survey was very clear"
109,5/1/20 1:37,R_u20ExmrPnAiqQLL,,,,,,,,0,19,20,0,1,0,3,
370,5/1/20 3:02,R_r3ixipyacAsLeyR,0,19,20,0,0,0,2,,,,,,,,
187,5/1/20 5:36,R_1JXbTYOJeFhSVeP,,,,,,,,0,19,20,0,1,0,3,no
136,5/1/20 6:40,R_2Y3W3GIPAuWkZE5,0,19,20,0,1,0,3,,,,,,,,no
175,5/1/20 6:55,R_2f9ztmouTVvu1SA,19,19,20,0,0,0,3,,,,,,,,None
243,5/1/20 8:37,R_USDjoD7OABiVSN3,,,,,,,,1,19,20,0,1,0,3,No
395,5/1/20 10:25,R_abNB0UmYBI3Tzjj,,,,,,,,19,19,20,19,1,0,1,No
89,5/1/20 11:15,R_1OGYjiblahMjOT7,5,20,20,10,1,0,2,,,,,,,,n/a
125,5/4/20 11:54,R_3PB1znRqH1jNJDZ,,,,,,,,0,19,20,0,1,0,2,na
102,5/4/20 11:54,R_2CvlbxrunzJISA9,,,,,,,,0,19,20,0,1,0,3,no
141,5/4/20 11:54,R_339okhmzTD6uaqJ,0,5,15,0,0,0,3,,,,,,,,nothing
150,5/4/20 11:54,R_3dLMWyXOGaYAVqm,,,,,,,,0,19,20,0,1,0,3,no
36,5/4/20 11:55,R_1jIl4OyhkjPgJ9X,7,3,5,5,1,1,2,,,,,,,,no confusing
234,5/4/20 11:56,R_2ahvTWGPjox5YiT,0,19,20,0,0,0,2,,,,,,,,
262,5/4/20 11:56,R_3eeNlTBzC7mwGqK,,,,,,,,0,19,20,0,1,0,3,"the one question asked how many people would know John was using the hooks, I figured you meant other than himself and the shop owner so I answered 0."
271,5/4/20 11:56,R_3CDSPG6wO8bAy1e,0,19,20,0,0,0,3,,,,,,,,no
219,5/4/20 11:58,R_1K9Icr0BcJyq9bo,,,,,,,,2,2,1,1,1,1,1,no
152,5/4/20 12:50,R_3nvfoSV9O0RHqhs,,,,,,,,0,19,20,0,1,0,3,no
394,5/4/20 12:53,R_u1D8GCI6O1nvVYJ,6,19,20,5,1,1,2,,,,,,,,no
246,5/4/20 13:12,R_2e59lsmNhWZSpqW,,,,,,,,0,19,20,0,0,0,3,no
167,5/4/20 13:15,R_XYQWjArPFaGm0sV,0,19,20,0,1,0,3,,,,,,,,no
171,5/4/20 13:15,R_2timHKACsSACtQd,0,19,20,0,1,0,3,,,,,,,,no
125,5/4/20 13:19,R_3sjeaN929ezn22C,,,,,,,,0,19,20,0,1,0,3,no
585,5/4/20 13:38,R_1j9UY4XlIbmuLf7,,,,,,,,19,0,20,0,0,0,2,Nothing confusing.
363,5/4/20 14:04,R_bsf5LGU4g07nyOl,0,0,20,0,0,0,3,,,,,,,,No
111,5/4/20 14:29,R_VVm0mwTfsBKSg0x,,,,,,,,0,19,20,0,0,0,2,No
108,5/4/20 14:51,R_21FfJIAI7tJlfj0,,,,,,,,0,20,20,0,1,0,3,Nope
424,5/4/20 15:14,R_3KPfJZiWuq4TpOg,0,19,20,0,0,0,2,,,,,,,,No.
133,5/4/20 15:32,R_ehMYzHopaRbtYOZ,0,19,20,0,0,0,3,,,,,,,,no
147,5/4/20 15:50,R_1JQ03Qt1nalqk30,,,,,,,,0,19,20,0,1,0,3,"No, everything was clear."
226,5/4/20 16:27,R_OCOZdjCqMTv4C3L,,,,,,,,0,19,20,0,1,0,3,no
263,5/4/20 17:16,R_3pa5hZUGFMPbGRS,0,19,20,0,1,0,3,,,,,,,,It would've been better if it was explicitly stated that the answers must be numeric.
613,5/4/20 17:17,R_UbwDIRMmN6eWElH,0,19,20,0,1,0,3,,,,,,,,No
259,5/4/20 21:37,R_1HjGuiiD3eZrpGT,0,19,20,0,0,0,2,,,,,,,,No
254,5/4/20 22:07,R_1mBZJjUq1vTexrZ,,,,,,,,10,20,25,20,1,1,1,all so nice
830,5/4/20 23:07,R_3qERA8aDk52p8Th,,,,,,,,0,19,20,19,1,0,1,clear survey